kreiskey1849,county,rb,occ1849_typefoundry_inst,occ1849_typefoundry_workers,occ1849_printoffice_book_inst,occ1849_printoffice_book_press,occ1849_printoffice_book_workers,occ1849_printoffice_copper_inst,occ1849_printoffice_copper_work,occ1849_lithographic_inst,occ1849_lithographic_workers,occ1849_bookshop_propr,occ1849_bookshop_assi,occ1849_antiquarian_inst,occ1849_lendinglibrary_inst,occ1849_money_propr,occ1849_money_assi,occ1849_wholesaler_propr,occ1849_wholesaler_assi,occ1849_store_wine_propr,occ1849_store_wine_assi,occ1849_store_grain_propr,occ1849_store_grain_assi,occ1849_store_wood_propr,occ1849_store_wood_assi,occ1849_store_wool_propr,occ1849_store_wool_assi,occ1849_wholesale_brokers,occ1849_retail_brokers,occ1849_spicetrader_propr,occ1849_spicetrader_assi,occ1849_mercer_propr,occ1849_mercer_assitants,occ1849_metaltrader_propr,occ1849_metaltrader_assi,occ1849_gallantrytrader_propr,occ1849_gallantrytrader_assist,occ1849_other_trader_propretor,occ1849_other_trader_assi,occ1849_horsedealer,occ1849_chandler,occ1849_victualstrader,occ1849_travel_chandler,occ1849_mar_crew,occ1849_river_crew,occ1849_carriage_propr,occ1849_carriage_assi,occ1849_inn_educated_inns,occ1849_inn_carriage_inns,occ1849_inn_food_innkeepers,occ1849_inn_drink_innkeepers,occ1849_inn_musicians,occ1849_civil_state_senior,occ1849_civil_state_others,occ1849_civil_justice_senior,occ1849_civil_justice_others,occ1849_municipal_senior,occ1849_municipal_others,occ1849_annuitants,occ1849_manualworkers_m,occ1849_manualworkers_f,occ1849_servant_m_conv,occ1849_servant_f_conv
1,"Memel","KON",0,0,2,3,9,0,0,1,1,2,1,0,2,8,4,31,36,4,6,16,19,22,35,0,0,6,9,61,111,13,46,5,16,3,0,27,8,1,2,109,3,987,101,17,31,7,47,9,95,23,0,71,14,21,0,37,415,3046,2449,116,884
2,"Fischhausen","KON",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,2,4,0,0,0,0,42,43,6,7,0,0,0,0,15,0,0,0,42,1,27,68,2,4,9,74,4,80,12,1,87,5,13,0,65,40,1765,533,143,407
3,"Königsberg Stadt","KON",1,3,8,21,110,0,0,5,34,12,17,2,8,4,4,57,157,10,11,56,91,23,22,4,3,15,121,142,374,89,113,20,60,44,62,273,136,42,108,460,76,431,272,119,146,16,38,40,221,30,61,432,83,122,13,189,1466,4136,2771,440,4403
4,"Königsberg Land","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,1,0,27,0,0,6,8,6,7,73,1,74,7,0,2,0,0,1,2,8,2441,1211,141,288
5,"Labiau","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,36,47,2,3,0,0,0,0,6,0,3,2,56,4,0,141,7,4,6,54,0,51,4,1,16,8,17,0,4,4,2654,2408,47,73
6,"Welau","KON",0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,2,0,0,10,10,4,1,0,0,0,1,41,80,6,11,0,0,3,5,1,1,0,8,31,7,0,157,0,0,5,41,4,89,4,1,71,15,21,15,87,50,2723,2934,96,251
7,"Gerdauen","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,22,9,6,0,0,0,0,0,0,2,18,17,5,0,0,0,0,6,48,0,33,5,1,9,3,8,0,14,37,2423,2302,71,166
8,"Rastenburg","KON",0,0,1,1,2,0,0,0,0,2,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,24,43,9,7,0,0,3,6,4,2,0,1,4,0,0,0,0,0,7,30,1,59,2,1,10,5,9,19,102,57,2326,2621,96,417
9,"Friedland","KON",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,42,62,10,9,1,0,2,0,2,0,1,10,38,2,0,0,0,0,9,39,4,83,6,1,15,12,15,0,28,74,2123,2225,122,297
10,"Preuss. Eilau","KON",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,41,6,3,1,1,1,1,0,0,0,8,60,16,0,0,0,0,9,64,4,67,8,0,12,3,5,0,8,14,2470,2233,119,293
11,"Heiligenbeil","KON",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,4,4,0,0,1,2,1,1,2,26,59,5,0,48,4,6,7,56,2,68,5,1,18,4,8,0,13,28,2150,2212,113,251
12,"Braunsberg","KON",0,0,1,2,3,0,0,1,1,2,2,0,2,0,0,4,6,2,1,0,0,11,0,0,0,0,0,46,71,24,15,3,4,2,3,13,7,1,3,30,28,36,68,0,0,10,53,9,85,4,3,35,10,19,1,31,119,3100,2815,41,121
13,"Heilsberg","KON",0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,30,15,12,1,0,1,1,9,6,1,3,60,6,0,0,1,0,5,71,0,59,0,3,25,12,15,0,7,22,3151,3577,48,253
14,"Rössel","KON",0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,30,59,16,19,0,0,1,0,4,0,2,3,23,18,0,0,0,0,11,40,1,79,0,0,116,15,23,0,21,41,2461,2725,43,133
15,"Allenstein","KON",0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,6,4,0,0,1,0,5,4,5,2,49,29,0,0,0,0,1,51,1,55,9,1,62,9,21,1,34,26,2413,2923,20,213
16,"Ortelsburg","KON",0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,25,34,7,3,0,0,0,0,0,0,0,7,21,7,0,0,0,0,11,60,1,85,0,5,38,10,16,0,14,131,2673,2854,28,179
17,"Neidenburg","KON",0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,30,16,7,10,4,2,1,0,3,0,3,5,16,5,0,0,0,0,4,62,8,74,0,2,50,8,12,0,8,58,1677,1681,30,287
18,"Osterode","KON",0,0,2,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,21,10,6,0,0,0,0,2,3,5,2,17,4,0,0,0,0,10,59,1,62,17,0,32,9,17,0,14,76,3354,3398,79,247
19,"Morungen","KON",0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,13,14,1,1,2,2,1,0,15,5,44,5,0,0,1,1,7,71,0,76,4,1,24,12,20,0,12,147,3251,3290,139,420
20,"Pr. Holland","KON",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,22,9,10,0,0,0,0,0,0,11,8,18,12,0,30,2,0,7,80,3,38,7,1,12,5,9,0,8,54,3048,3133,133,292
21,"Heidekrug","GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2,0,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,173,1,0,253,0,0,9,58,1,33,0,1,75,7,22,0,0,8,2707,3305,39,230
22,"Niederung","GUM",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,17,4,2,0,0,0,0,14,0,0,21,118,7,0,106,4,0,5,51,0,52,0,1,43,11,33,0,5,131,3310,3197,56,121
23,"Tilsit","GUM",2,6,19,0,0,1,2,1,2,1,1,0,3,0,0,27,45,2,4,21,30,8,4,0,0,3,0,42,95,31,65,16,37,9,19,12,8,1,8,120,12,0,342,26,43,5,92,4,34,18,3,90,17,45,0,55,325,3122,4069,154,1132
24,"Ragnit","GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,7,5,1,1,0,0,0,0,29,35,2,4,0,0,0,0,0,0,0,0,6,12,0,102,2,3,11,55,0,78,0,2,81,9,16,0,2,21,1660,645,72,255
25,"Pillkallen","GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,21,27,0,0,0,0,0,0,0,0,30,6,0,0,5,5,6,66,1,17,3,2,114,7,55,0,9,57,2275,3076,58,330
26,"Stallupönen","GUM",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,9,11,0,0,3,3,0,0,0,5,69,12,0,0,4,10,3,65,1,31,20,1,68,10,24,0,8,35,1349,658,46,366
27,"Gumbinnen","GUM",0,0,2,5,20,0,0,0,0,2,2,0,1,0,0,0,0,1,1,10,9,1,0,0,0,0,0,18,30,9,18,2,6,1,1,1,0,0,0,82,3,0,0,7,10,3,72,3,37,45,27,104,12,29,2,12,126,2036,2384,99,650
28,"Insterburg","GUM",0,0,1,3,5,0,0,1,1,1,1,0,3,0,0,0,0,1,2,28,20,2,1,0,0,0,0,42,59,6,21,3,10,4,8,10,8,4,6,94,15,0,347,6,6,7,67,3,90,6,1,109,41,74,1,19,202,2848,2103,159,580
29,"Darkehmen","GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,2,4,0,0,0,0,0,0,0,0,68,13,0,0,0,0,4,93,0,11,12,1,12,4,10,1,3,14,1456,1244,112,325
30,"Angerburg","GUM",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,15,18,4,6,6,0,0,0,1,0,0,1,74,1,0,0,0,0,3,57,0,58,1,3,27,8,22,0,8,7,3042,2929,32,166
31,"Goldapp","GUM",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,33,6,9,0,0,1,1,0,0,1,5,80,25,0,0,0,0,5,59,1,44,19,1,47,6,12,0,6,11,1943,2393,37,90
32,"Oletzko","GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,8,15,0,0,0,0,0,0,1,0,66,2,0,0,1,2,3,27,0,92,0,1,23,6,10,0,0,16,1318,1148,40,92
33,"Lyck","GUM",0,0,1,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,8,14,5,0,0,0,0,0,0,11,33,11,0,0,0,0,7,41,2,61,0,1,42,12,24,0,17,25,2572,3546,103,274
34,"Lötzen","GUM",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,5,5,0,0,1,1,2,0,0,2,1,1,0,0,0,0,5,30,0,60,36,1,8,7,9,0,4,13,2424,2802,39,85
35,"Sensburg","GUM",0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,6,3,0,0,1,0,2,0,10,2,56,13,0,20,0,0,4,88,1,4,6,3,43,9,22,0,8,48,3439,4124,121,78
36,"Johannisburg","GUM",0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,26,32,8,18,0,0,1,1,1,0,36,28,62,3,0,2,0,0,2,48,3,64,1,0,57,8,15,0,14,386,3336,3194,53,198
37,"Elbing","DAN",0,0,5,8,34,0,0,4,9,3,6,0,2,8,4,4,16,3,8,30,29,6,2,0,0,8,2,50,95,44,58,7,13,5,2,25,11,6,40,296,44,140,342,104,115,14,50,5,154,45,4,93,12,52,5,70,446,4466,270,271,1672
38,"Marienburg","DAN",0,0,2,2,3,0,0,0,0,2,1,0,3,1,0,0,0,0,0,14,4,23,6,0,0,0,4,40,57,25,41,3,5,1,0,9,5,2,4,117,124,0,105,21,14,13,75,3,141,25,1,41,13,30,1,15,225,5512,3150,72,666
39,"Danzig Stadt","DAN",0,0,3,16,47,0,0,6,20,9,26,2,6,6,21,83,209,14,38,100,276,32,59,1,3,16,37,150,249,84,216,15,52,7,21,77,114,22,6,202,28,1287,300,89,156,20,15,12,262,41,35,289,33,53,7,56,270,5780,2893,436,3163
40,"Danzig Land","DAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,4,4,238,14,3,38,11,6,15,144,1,138,3,0,17,0,0,0,62,42,5198,4252,126,212
41,"Stargard","DAN",0,0,2,2,5,0,0,0,0,3,1,0,3,0,0,0,0,0,0,2,4,10,3,1,1,0,3,27,48,28,23,2,3,3,3,5,0,24,16,38,1,0,2,13,12,10,142,6,39,15,1,42,14,27,0,8,140,3319,2813,96,536
42,"Behrend","DAN",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,3,3,0,0,0,2,0,1,0,6,16,68,5,0,0,0,0,5,54,0,23,9,4,10,4,9,2,60,84,2139,559,68,65
43,"Karthaus","DAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,2,2,1,1,1,1,1,6,2,35,3,0,0,0,0,8,99,0,20,0,1,23,6,34,0,1,12,2165,551,84,91
44,"Neustadt","DAN",0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,5,0,0,0,0,0,26,19,16,6,1,0,2,0,1,0,2,0,119,24,38,0,0,0,10,64,0,107,12,1,36,10,18,0,17,42,3206,1594,72,196
45,"Stuhm","MAR",0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,18,8,7,0,0,0,0,3,0,8,10,101,3,0,22,5,2,6,83,0,61,26,1,14,5,14,0,73,12,2552,1667,78,290
46,"Marienwerder","MAR",0,0,2,7,13,0,0,1,1,2,4,0,4,1,1,0,0,0,0,5,5,5,1,0,0,0,3,31,40,20,12,2,2,5,7,10,3,10,14,136,17,0,166,8,7,22,123,1,102,26,23,147,40,81,0,15,134,5238,4589,217,919
47,"Rosenberg","MAR",0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,12,18,4,0,0,0,0,9,0,3,1,38,11,0,0,3,1,11,88,0,52,21,1,18,8,19,0,31,41,3316,1419,134,316
48,"Löbau","MAR",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1,2,2,0,0,0,0,21,15,20,12,5,1,1,0,10,4,39,14,85,4,0,0,0,0,8,47,1,94,5,1,3,8,39,0,13,11,1052,1123,19,94
49,"Strassburg","MAR",0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,14,35,2,1,0,5,2,7,0,23,32,94,22,0,0,0,0,12,63,0,131,3,1,49,8,36,0,22,11,3174,2673,98,186
50,"Thorn","MAR",0,0,3,3,10,0,0,2,2,1,4,0,2,2,5,0,0,7,13,12,15,2,0,0,0,0,11,28,59,30,21,6,8,9,10,12,6,17,5,59,3,0,458,14,17,7,114,6,99,5,2,86,12,34,2,52,182,3511,1956,186,912
51,"Culm","MAR",0,0,3,4,8,0,0,0,0,3,1,0,2,0,0,1,0,1,2,6,2,2,0,4,2,0,1,25,23,8,1,2,0,7,3,19,7,2,4,102,2,0,40,0,0,10,44,2,98,8,1,30,12,32,0,15,29,3100,2843,284,471
52,"Graudenz","MAR",0,0,2,3,7,0,0,1,1,2,3,0,2,0,0,0,0,2,1,15,8,2,0,3,0,0,2,42,54,15,17,2,8,5,0,12,10,4,15,31,7,0,91,6,3,10,75,5,92,16,1,73,16,22,1,101,210,2584,1846,182,698
53,"Schwetz","MAR",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,1,32,16,20,7,0,0,5,0,3,0,3,13,82,12,0,152,7,10,12,103,3,81,38,1,55,14,20,0,7,21,4136,3151,115,343
54,"Konitz","MAR",0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,45,19,20,0,0,0,1,0,4,0,3,31,54,14,0,0,4,6,8,73,4,103,14,4,15,12,18,0,14,17,4287,4138,108,367
55,"Schlochau","MAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,24,1,28,0,1,0,3,0,0,0,73,23,95,13,0,0,5,2,12,70,0,102,22,1,38,9,22,0,13,46,3216,2284,69,144
56,"Flatow","MAR",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,5,0,1,0,0,0,10,0,27,87,93,22,0,0,3,1,12,71,0,89,26,1,24,10,23,0,83,59,2809,2040,60,264
57,"Deutsch-Crone","MAR",0,0,1,1,3,0,0,0,0,1,0,0,1,1,2,7,3,0,0,11,2,0,0,1,0,0,2,63,5,25,1,7,0,4,0,35,1,27,17,40,24,0,0,5,6,19,117,0,86,50,2,56,13,17,0,143,72,4956,4626,120,196
58,"Wreschen","POS",0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,14,0,3,0,0,0,0,0,15,11,8,3,3,0,2,0,0,0,8,115,27,7,0,0,5,10,8,20,3,115,0,1,43,8,19,0,14,25,2667,2657,193,246
59,"Pleschen","POS",0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,4,2,6,0,4,0,4,0,0,0,0,0,39,6,14,0,5,0,4,1,23,0,23,116,61,16,0,6,1,2,12,136,4,93,3,0,39,12,22,0,20,114,3282,2411,223,261
60,"Schroda","POS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,1,9,2,4,1,6,6,0,0,27,8,17,7,3,1,1,0,35,23,8,15,75,9,0,0,6,3,12,121,5,68,2,2,38,8,28,1,7,11,2659,2476,329,395
61,"Schrimm","POS",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,3,3,1,3,0,0,0,0,0,0,0,23,8,23,7,2,0,1,0,40,1,13,198,105,11,0,102,3,3,15,84,6,131,5,1,12,7,22,0,22,33,2761,1916,156,224
62,"Kosten","POS",0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,3,0,12,1,2,0,2,1,0,0,31,23,11,6,6,0,4,5,4,5,13,78,157,11,0,0,0,0,12,104,15,102,0,2,21,10,29,0,41,70,3885,3997,270,337
63,"Buk","POS",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,7,3,17,0,1,0,6,0,0,3,46,10,51,3,12,0,11,1,75,20,102,66,92,49,0,0,11,9,14,82,7,98,26,1,13,13,24,0,26,20,2624,2045,142,172
64,"Posen","POS",0,0,6,27,138,0,0,4,14,10,14,4,0,9,6,28,9,13,20,66,7,33,15,5,0,16,43,91,69,89,44,16,21,14,7,132,95,79,97,316,13,0,335,62,59,22,102,47,259,46,57,331,88,112,6,55,1173,3310,1662,690,3006
65,"Obornik","POS",0,0,0,0,0,0,0,1,2,1,1,0,0,4,0,3,0,3,3,5,0,2,0,7,0,0,0,35,5,54,0,3,0,0,0,7,0,8,33,67,5,0,8,5,2,10,59,3,101,3,1,34,7,22,0,15,18,1573,1603,138,185
66,"Samter","POS",0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,2,0,5,4,26,6,10,0,7,1,0,1,31,7,26,4,2,0,5,0,4,2,30,119,77,14,0,58,25,9,14,112,9,97,25,1,26,13,26,0,46,17,3159,2763,218,247
67,"Birnbaum","POS",0,0,2,3,5,0,0,0,0,1,1,0,1,4,3,15,11,0,0,3,2,2,0,2,0,1,4,21,19,19,19,3,6,0,0,8,5,111,131,59,72,0,99,6,6,20,65,2,100,22,2,45,11,26,0,15,21,2294,1967,93,361
68,"Meseritz","POS",0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,5,3,8,0,23,0,7,0,2,5,28,3,44,2,0,0,6,4,23,3,41,69,88,37,0,12,0,0,11,68,2,77,64,1,42,12,31,0,20,71,2467,2733,104,327
69,"Schildberg","POS",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,2,20,6,0,0,9,6,0,0,33,0,13,0,4,2,6,6,24,3,40,208,132,52,0,0,19,6,26,46,3,169,4,1,56,12,33,0,80,8,4492,2895,73,326
70,"Bomst","POS",0,0,1,2,3,0,0,0,0,1,1,0,1,0,0,11,28,19,2,12,0,11,0,4,1,1,0,72,5,68,4,6,0,6,1,6,1,79,56,73,57,0,0,11,9,21,66,5,125,56,0,18,9,29,0,166,29,3179,2203,68,146
71,"Fraustadt","POS",0,0,2,4,13,0,0,2,3,3,6,0,2,0,0,8,11,4,5,27,10,6,1,9,8,0,1,21,27,16,9,4,2,5,7,20,12,31,305,189,64,0,0,27,19,37,73,9,171,67,1,49,14,29,0,32,135,1705,1834,258,592
72,"Kröben","POS",0,0,1,2,5,0,0,1,1,1,1,0,2,1,1,3,1,1,2,2,2,0,0,0,0,0,0,40,17,17,4,4,2,3,2,16,4,106,194,237,186,0,0,29,30,14,115,7,173,16,1,57,10,34,11,85,40,4063,3648,393,521
73,"Krotoschin","POS",0,0,1,2,6,0,0,0,0,3,0,0,2,2,0,5,2,7,3,22,1,4,2,8,2,0,8,31,19,52,5,12,2,6,3,16,13,58,153,260,40,0,0,12,23,19,64,4,181,17,1,32,14,33,2,32,58,2785,2186,179,403
74,"Adelnau","POS",0,0,1,1,2,0,0,0,0,2,0,0,0,1,0,1,0,2,2,4,0,2,1,0,0,0,0,19,5,19,10,4,1,2,3,6,5,15,112,114,13,0,0,8,10,7,44,2,145,0,1,37,12,22,0,18,18,5068,4928,171,536
75,"Tscharnikow","BRO",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,4,0,0,12,4,4,5,2,0,0,2,38,13,37,7,2,0,5,0,14,0,14,78,137,26,0,79,8,0,12,80,2,62,25,1,17,11,31,0,13,18,3892,3893,93,185
76,"Chodezien","BRO",0,0,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,5,0,5,0,4,0,10,3,0,1,42,2,32,0,8,2,2,2,11,0,11,110,117,15,0,9,1,1,15,95,4,79,12,1,23,8,29,0,46,22,3200,1779,55,294
77,"Wirsitz","BRO",0,0,1,1,2,0,0,0,0,3,1,0,2,0,0,0,0,7,7,21,5,7,2,11,0,0,7,40,9,34,6,2,1,6,2,47,1,5,12,89,5,0,16,1,3,15,71,9,109,22,1,19,8,26,0,16,12,1617,964,146,219
78,"Bromberg","BRO",0,0,2,4,6,1,0,3,4,3,3,0,3,2,0,6,4,4,3,18,10,22,2,1,1,0,8,34,46,38,15,6,6,6,12,17,8,18,61,203,63,0,320,22,23,12,92,19,158,34,32,297,57,89,2,44,279,4126,2241,257,1147
79,"Schubin","BRO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,0,23,3,14,1,2,0,2,3,4,0,11,39,211,17,0,0,3,4,22,71,3,122,10,2,29,13,29,0,20,28,2082,1343,99,297
