kreiskey1849,county,rb,rel1849_pro_main_church,rel1849_pro_sub_church,rel1849_pro_other_meetplace,rel1849_pro_priest,rel1849_pro_religious_teach,rel1849_cat_main_church,rel1849_cat_sub_church,rel1849_cat_other_meetplace,rel1849_cat_priest,rel1849_cat_chaplain_vicar,rel1849_menn_meetplace,rel1849_jew_meetplace
1,"Memel","KON",6,0,2,10,0,1,0,0,1,1,0,1
2,"Fischhausen","KON",14,2,0,17,0,0,0,0,0,0,0,0
3,"Königsberg Stadt","KON",13,1,5,26,0,1,0,0,1,3,1,1
4,"Königsberg Land","KON",18,1,0,20,0,0,0,0,0,0,0,0
5,"Labiau","KON",7,0,0,8,0,0,0,0,0,0,0,0
6,"Welau","KON",10,1,1,15,0,0,0,0,0,0,0,0
7,"Gerdauen","KON",10,2,0,12,0,0,0,0,0,0,0,1
8,"Rastenburg","KON",13,3,1,17,0,1,0,0,1,2,0,1
9,"Friedland","KON",14,4,1,17,0,0,0,0,0,0,0,0
10,"Preuss. Eilau","KON",20,2,0,25,0,0,0,0,0,0,0,1
11,"Heiligenbeil","KON",15,2,0,17,0,0,0,0,0,0,0,0
12,"Braunsberg","KON",4,0,0,5,0,17,6,10,17,19,0,4
13,"Heilsberg","KON",2,0,0,3,0,23,6,8,23,15,0,1
14,"Rössel","KON",4,0,0,4,0,15,3,8,15,12,0,4
15,"Allenstein","KON",2,0,1,2,0,19,2,6,19,8,0,2
16,"Ortelsburg","KON",10,1,0,13,1,0,0,0,0,0,0,1
17,"Neidenburg","KON",13,7,0,13,0,3,1,1,3,0,0,2
18,"Osterode","KON",16,11,1,16,0,0,0,0,0,0,0,1
19,"Morungen","KON",20,5,0,23,0,0,0,0,0,0,0,3
20,"Pr. Holland","KON",18,5,3,19,0,0,0,0,0,0,0,1
21,"Heidekrug","GUM",6,1,0,7,2,1,0,1,1,1,0,0
22,"Niederung","GUM",6,0,0,8,4,0,0,0,0,0,1,0
23,"Tilsit","GUM",7,0,1,8,7,1,0,0,1,1,1,1
24,"Ragnit","GUM",8,0,0,10,5,0,0,0,0,0,0,1
25,"Pillkallen","GUM",7,0,0,9,4,0,0,0,0,0,0,1
26,"Stallupönen","GUM",7,0,0,8,4,0,0,0,0,0,0,0
27,"Gumbinnen","GUM",9,0,1,10,4,0,0,0,0,0,0,1
28,"Insterburg","GUM",13,0,2,15,5,0,0,0,0,0,0,0
29,"Darkehmen","GUM",7,0,0,8,3,0,0,0,0,0,0,1
30,"Angerburg","GUM",7,1,0,9,2,0,0,0,0,0,0,0
31,"Goldapp","GUM",8,0,0,9,4,0,0,0,0,0,0,0
32,"Oletzko","GUM",7,0,0,9,4,0,0,0,0,0,0,1
33,"Lyck","GUM",9,0,0,12,4,0,0,0,0,0,0,1
34,"Lötzen","GUM",7,0,0,9,3,0,0,0,0,0,0,1
35,"Sensburg","GUM",9,0,1,12,2,0,0,0,0,0,0,2
36,"Johannisburg","GUM",9,0,0,12,5,0,0,0,0,0,0,1
37,"Elbing","DAN",14,1,3,17,0,3,0,1,3,3,3,2
38,"Marienburg","DAN",23,2,1,23,4,20,7,1,20,3,8,3
39,"Danzig Stadt","DAN",12,0,2,20,0,6,0,1,6,4,1,5
40,"Danzig Land","DAN",25,1,5,23,0,7,2,0,6,2,1,0
41,"Stargard","DAN",3,0,0,4,0,15,9,1,16,3,0,2
42,"Behrend","DAN",3,1,0,3,0,9,4,1,9,1,0,2
43,"Karthaus","DAN",3,0,1,3,0,8,3,2,7,5,0,0
44,"Neustadt","DAN",6,0,1,6,0,13,7,2,12,6,0,2
45,"Stuhm","MAR",4,1,0,4,0,9,6,2,9,5,1,3
46,"Marienwerder","MAR",8,1,1,11,1,10,2,1,11,2,1,2
47,"Rosenberg","MAR",15,7,0,13,1,0,0,0,0,0,0,5
48,"Löbau","MAR",1,1,0,2,0,19,5,3,18,2,0,2
49,"Strassburg","MAR",4,1,0,3,0,22,9,3,22,2,0,4
50,"Thorn","MAR",5,2,16,7,0,23,7,3,22,2,0,4
51,"Culm","MAR",3,1,5,4,1,17,4,2,17,3,1,2
52,"Graudenz","MAR",4,0,1,5,0,14,4,3,12,2,0,3
53,"Schwetz","MAR",3,1,4,4,2,14,4,2,14,1,3,2
54,"Konitz","MAR",3,0,2,4,0,15,13,4,15,8,0,3
55,"Schlochau","MAR",7,13,2,8,0,9,22,1,8,3,0,5
56,"Flatow","MAR",6,7,9,6,0,12,7,6,12,1,0,6
57,"Deutsch-Crone","MAR",10,22,22,10,2,9,32,2,9,4,0,6
58,"Wreschen","POS",1,1,0,1,0,24,5,5,15,2,0,4
59,"Pleschen","POS",2,1,1,2,0,39,1,1,27,1,0,4
60,"Schroda","POS",2,1,1,2,0,27,2,0,20,3,0,3
61,"Schrimm","POS",4,0,0,4,0,21,1,3,16,1,0,6
62,"Kosten","POS",3,0,1,4,0,30,6,6,22,5,0,4
63,"Buk","POS",4,0,2,4,0,13,4,2,13,2,0,5
64,"Posen","POS",4,0,3,9,0,28,4,8,36,20,1,10
65,"Obornik","POS",4,0,1,5,0,14,3,2,12,1,0,4
66,"Samter","POS",5,0,2,5,0,13,0,4,11,6,0,8
67,"Birnbaum","POS",6,0,4,8,0,16,8,0,12,2,0,4
68,"Meseritz","POS",10,7,3,11,0,10,5,5,7,3,0,5
69,"Schildberg","POS",2,0,3,2,0,21,12,6,17,3,0,6
70,"Bomst","POS",7,0,1,9,1,13,4,3,14,2,0,4
71,"Fraustadt","POS",14,0,3,19,0,27,8,1,24,0,0,6
72,"Kröben","POS",7,0,1,11,0,25,9,2,24,13,0,8
73,"Krotoschin","POS",5,0,1,5,0,22,4,3,20,2,0,8
74,"Adelnau","POS",2,0,1,3,0,16,1,4,11,2,0,3
75,"Tscharnikow","BRO",9,21,13,9,0,6,2,1,6,1,0,6
76,"Chodezien","BRO",6,4,15,7,0,9,0,3,7,1,1,6
77,"Wirsitz","BRO",6,1,10,5,0,17,2,1,12,2,0,5
78,"Bromberg","BRO",4,0,12,6,0,16,2,2,12,4,1,4
79,"Schubin","BRO",4,2,1,4,0,15,1,5,11,7,0,7
80,"Inowrazlaw","BRO",4,0,6,4,1,31,3,2,24,4,0,3
81,"Mogilno","BRO",4,2,1,2,0,24,2,30,14,5,0,5
82,"Gnesen","BRO",4,0,0,3,1,28,8,5,28,10,0,7
83,"Wongrowiz","BRO",4,1,0,5,0,25,5,4,24,2,0,5
84,"Haupt- und Residenzstadt Berlin","POT",22,2,12,69,4,1,0,2,1,5,0,1
85,"Prenzlau","POT",39,58,2,43,0,0,0,1,0,1,0,2
86,"Templin","POT",26,45,8,30,2,0,0,0,0,0,0,3
87,"Angermünde","POT",34,44,1,41,0,0,0,0,0,0,0,4
88,"Ober-Barnim","POT",29,47,10,33,1,0,0,1,1,0,0,4
89,"Nieder-Barnim","POT",46,59,0,48,0,0,0,0,0,0,0,3
90,"Beeskow-Storkow","POT",22,21,0,24,0,0,0,0,0,0,0,2
91,"Teltow","POT",35,56,1,40,0,0,0,0,0,0,0,1
92,"Jüterbock-Luckenwalde","POT",41,38,2,46,0,0,0,1,0,0,0,0
93,"Zauch-Belzig","POT",52,83,4,59,0,0,0,0,0,0,0,2
94,"Potsdam","POT",5,0,4,11,1,1,0,0,1,1,0,1
95,"Ost-Havelland","POT",45,35,1,48,0,1,1,0,1,0,0,2
96,"West-Havelland","POT",45,39,5,51,1,0,0,1,0,0,0,3
97,"Ruppin","POT",55,48,10,61,0,0,0,0,0,0,0,2
98,"Ost-Priegnitz","POT",50,75,5,53,1,0,0,0,0,0,0,3
99,"West-Priegnitz","POT",47,52,5,53,0,0,0,0,0,0,0,3
100,"Königsberg","FRA",36,55,6,43,0,0,0,0,0,0,0,6
101,"Soldin","FRA",27,32,1,29,0,0,0,0,0,0,0,4
102,"Arnswalde","FRA",21,30,4,23,0,0,0,0,0,0,0,3
103,"Friedeberg","FRA",17,35,8,20,0,0,0,0,0,0,0,3
104,"Landsberg","FRA",21,54,2,22,0,0,0,0,0,0,0,1
105,"Lebus","FRA",43,49,7,46,0,0,0,0,0,0,0,4
106,"Frankfurt","FRA",5,0,0,9,1,1,0,0,0,0,0,1
107,"Sternberg","FRA",46,62,1,51,0,0,0,0,0,0,0,4
108,"Züllichau","FRA",21,6,1,24,0,6,6,0,5,3,0,1
109,"Guben","FRA",23,12,0,28,0,1,1,0,1,3,0,1
110,"Crossen","FRA",31,14,4,31,0,0,0,0,0,0,0,0
111,"Lübben","FRA",16,15,1,20,0,0,0,0,0,0,0,1
112,"Luckau","FRA",43,45,2,48,0,0,0,0,0,0,0,0
113,"Kalau","FRA",31,17,5,33,0,0,0,0,0,0,0,0
114,"Cottbus","FRA",21,8,5,24,0,0,0,0,0,0,0,0
115,"Sorau","FRA",37,9,11,45,0,2,0,0,2,0,0,1
116,"Spremberg","FRA",9,2,0,9,0,1,0,0,0,0,0,0
117,"Demmin","STE",27,41,8,31,0,0,0,0,0,0,0,1
118,"Anclam","STE",18,23,11,20,0,0,0,0,0,0,0,1
119,"Usedom-Wollin","STE",18,3,2,20,0,0,0,0,0,0,0,2
120,"Uckermünde","STE",11,11,7,15,0,0,2,1,0,0,0,2
121,"Randow","STE",42,55,3,56,0,1,0,0,1,1,0,3
122,"Greiffenhagen","STE",29,32,0,32,0,0,0,0,0,0,0,3
123,"Pyritz","STE",37,47,2,38,2,0,0,0,0,0,0,1
124,"Saazig","STE",37,55,2,36,1,0,1,0,0,1,0,5
125,"Naugardt","STE",29,52,4,33,4,0,1,1,0,0,0,4
126,"Cammin","STE",22,19,5,24,0,0,0,0,0,0,0,3
127,"Greiffenberg","STE",23,8,7,29,0,0,0,0,0,0,0,2
128,"Regenwalde","STE",28,45,2,28,2,0,0,0,0,0,0,4
129,"Schiefelbein","KOS",11,16,2,11,0,0,0,0,0,0,0,1
130,"Dramburg","KOS",19,33,1,21,0,0,0,0,0,0,0,3
131,"Neustettin","KOS",28,41,5,28,1,1,0,0,1,0,0,4
132,"Belgard","KOS",15,19,5,17,0,0,0,0,0,0,0,2
133,"Fürstenthum","KOS",57,30,2,54,0,0,0,0,0,0,0,4
134,"Schlawe","KOS",36,21,4,36,2,0,0,0,0,0,0,3
135,"Rummelsburg","KOS",11,7,1,11,0,0,0,0,0,0,0,1
136,"Stolpe","KOS",27,7,5,29,0,0,0,0,0,0,0,1
137,"Lauenburg","KOS",12,4,1,11,1,1,2,0,1,0,0,1
138,"Bütow","KOS",4,2,1,5,0,2,4,0,2,1,0,1
139,"Rügen","STR",29,0,4,35,0,0,0,0,0,0,0,0
140,"Franzburg","STR",30,0,8,36,2,1,0,0,1,0,0,1
141,"Greifswald","STR",31,0,13,36,1,0,0,1,0,0,0,0
142,"Grimmen","STR",27,0,22,28,0,0,0,0,0,0,0,0
143,"Namslau","BRE",4,0,2,6,0,15,13,0,9,4,0,2
144,"Wartenberg","BRE",5,0,1,8,2,9,10,3,6,3,0,2
145,"Oels","BRE",37,3,0,36,0,7,1,0,5,2,0,2
146,"Trebnitz","BRE",21,0,1,22,2,11,1,1,9,4,0,1
147,"Militsch","BRE",8,0,1,11,2,10,1,3,10,0,0,2
148,"Gurau","BRE",11,1,8,14,0,9,3,0,7,2,0,0
149,"Steinau","BRE",20,0,0,21,0,6,2,0,6,1,0,0
150,"Wolau","BRE",16,1,1,18,0,17,4,3,14,3,0,1
151,"Neumarkt","BRE",10,1,0,12,0,41,7,0,22,8,0,1
152,"Breslau","BRE",12,3,3,42,0,34,5,14,22,17,0,15
153,"Olau","BRE",16,0,1,12,1,15,6,2,15,5,0,0
154,"Brieg","BRE",24,10,3,30,0,6,3,2,5,3,0,1
155,"Strehlen","BRE",19,1,3,19,0,5,1,0,4,2,0,0
156,"Nimtsch","BRE",20,2,2,21,0,5,2,0,6,1,0,0
157,"Münsterberg","BRE",4,0,0,4,0,15,2,14,15,6,0,1
158,"Frankenstein","BRE",9,0,0,9,0,22,7,12,19,16,0,0
159,"Reichenbach","BRE",6,1,1,11,1,13,8,2,10,4,0,0
160,"Schweidnitz","BRE",11,0,1,15,0,32,4,5,17,13,0,1
161,"Striegau","BRE",6,0,1,6,0,14,3,7,7,7,0,0
162,"Waldenburg","BRE",9,0,4,11,0,12,8,0,3,3,0,0
163,"Glatz","BRE",3,1,2,5,0,28,10,29,28,35,0,2
164,"Habelschwerdt","BRE",1,2,0,1,0,18,13,33,18,22,0,0
165,"Creutzburg","OPP",17,13,2,16,0,4,1,2,5,1,0,3
166,"Rosenberg","OPP",1,0,1,2,0,10,16,5,10,4,0,2
167,"Oppeln","OPP",7,0,1,8,0,19,13,10,19,12,0,2
168,"Gross-Strehlitz","OPP",1,0,1,1,1,17,9,8,14,11,0,3
169,"Lublinitz","OPP",3,0,0,2,0,10,5,7,10,2,0,3
170,"Tost","OPP",1,0,0,1,0,25,14,13,25,4,0,5
171,"Beuthen","OPP",3,0,1,1,0,21,5,11,21,12,0,3
172,"Pless","OPP",3,0,1,4,0,23,4,6,23,4,0,3
173,"Riebnick","OPP",2,0,1,2,0,17,13,4,17,7,0,3
174,"Ratibor","OPP",1,0,0,2,0,30,15,20,31,16,0,2
175,"Cosel","OPP",3,0,1,3,0,19,6,4,19,6,0,1
176,"Leobschütz","OPP",3,1,0,3,0,30,16,17,30,27,0,2
177,"Neustadt","OPP",2,0,0,2,1,29,11,11,29,13,0,3
178,"Falkenberg","OPP",4,0,0,4,0,9,6,9,7,3,0,0
179,"Neisse","OPP",3,0,1,3,0,31,19,14,31,25,0,1
180,"Grotkau","OPP",1,0,1,2,0,19,15,10,19,14,0,2
181,"Grünberg","LIE",14,0,2,16,1,12,6,2,7,2,0,1
182,"Freistadt","LIE",12,0,1,16,1,19,1,2,9,1,0,1
183,"Sagan","LIE",12,0,2,14,2,27,7,1,15,2,0,0
184,"Sprottau","LIE",9,0,0,10,0,17,4,1,6,2,0,0
185,"Glogau","LIE",16,1,1,20,0,19,14,4,19,7,0,1
186,"Lüben","LIE",21,0,3,20,0,5,2,0,4,0,0,0
187,"Bunzlau","LIE",23,0,5,27,0,20,2,3,9,3,0,0
188,"Hainau-Goldberg","LIE",25,3,2,28,0,7,1,0,4,0,0,1
189,"Liegnitz","LIE",35,3,1,39,0,6,1,0,5,2,0,1
190,"Jauer","LIE",8,0,1,10,0,19,0,2,9,4,0,0
191,"Schönau","LIE",18,0,0,18,0,17,1,0,4,0,0,0
192,"Bolkenhain","LIE",12,0,0,14,0,17,6,2,7,6,0,0
193,"Landshut","LIE",4,1,1,7,0,18,2,10,10,7,0,1
194,"Hirschberg","LIE",23,0,4,26,0,19,3,6,10,4,0,1
195,"Löwenberg","LIE",21,0,2,24,0,28,13,7,14,11,0,1
196,"Lauban","LIE",27,0,5,40,3,6,1,0,4,3,0,0
197,"Görlitz","LIE",38,0,10,44,0,2,0,0,2,0,0,0
198,"Rothenburg","LIE",29,3,3,32,0,0,0,0,0,0,0,0
199,"Hoyerswerda","LIE",14,3,4,17,0,1,1,1,1,3,0,0
200,"Osterburg","MAG",55,55,1,53,0,0,0,0,0,0,0,1
201,"Salzwedel","MAG",49,100,4,44,0,0,0,0,0,0,0,2
202,"Gardelegen","MAG",38,41,7,38,0,0,0,1,0,0,0,1
203,"Stendal","MAG",47,55,2,47,0,0,1,0,1,0,0,2
204,"Jerichow II","MAG",48,41,1,49,0,0,0,0,0,0,0,0
205,"Jerichow I","MAG",57,38,3,59,1,1,0,0,1,0,0,3
206,"Calbe","MAG",33,10,4,40,1,0,0,0,0,0,0,2
207,"Magdeburg","MAG",13,0,10,21,1,1,0,1,1,2,0,1
208,"Wanzleben","MAG",43,3,6,43,1,3,0,0,3,0,0,0
209,"Wollmirstädt","MAG",36,14,0,37,0,1,0,0,1,1,0,1
210,"Neuhaldensleben","MAG",47,10,0,50,0,1,0,1,1,1,0,1
211,"Oschersleben","MAG",29,4,1,34,0,4,0,0,4,3,0,2
212,"Aschersleben","MAG",31,3,4,37,0,2,0,1,2,1,0,1
213,"Halberstadt","MAG",37,4,5,45,0,2,0,0,0,0,0,4
214,"Grafschaft Wernigerode","MAG",20,0,4,19,1,0,0,0,0,0,0,0
215,"Liebenwerda","MER",26,21,2,31,0,0,0,0,0,0,0,0
216,"Torgau","MER",41,28,2,48,0,0,0,0,0,0,0,0
217,"Schweinitz","MER",33,40,9,40,0,0,0,0,0,0,0,0
218,"Wittenberg","MER",32,27,12,42,0,0,0,0,0,0,0,0
219,"Bitterfeld","MER",31,32,4,38,0,0,0,0,0,0,0,0
220,"Delitsch","MER",50,29,5,55,0,0,0,0,0,0,0,0
221,"Saal-Kreis","MER",45,37,3,49,0,0,0,0,0,0,0,0
222,"Halle","MER",7,0,2,14,1,1,0,0,1,0,0,1
223,"Seekreis Mannsfeld","MER",43,41,3,48,1,0,0,0,0,0,0,1
224,"Gebirgskreis Mannsfeld","MER",33,19,0,35,0,0,0,0,0,0,0,0
225,"Sangerhausen","MER",60,11,8,71,0,0,0,0,0,0,0,0
226,"Eckartsberga","MER",54,23,4,54,0,0,0,0,0,0,0,0
227,"Querfurt","MER",62,38,7,67,0,0,0,0,0,0,0,0
228,"Merseburg","MER",58,36,3,62,0,0,0,0,0,0,0,0
229,"Weissenfels","MER",55,36,3,58,0,0,0,0,0,0,0,0
230,"Naumburg","MER",20,12,2,26,1,0,0,0,0,0,0,0
231,"Zeitz","MER",35,8,6,37,0,0,0,0,0,0,0,0
232,"Nordhausen","ERF",46,23,3,49,1,2,0,0,2,1,0,2
233,"Worbis","ERF",10,7,2,12,0,22,12,9,22,8,0,1
234,"Heiligenstadt","ERF",5,6,1,6,0,30,31,14,30,4,0,0
235,"Mühlhausen","ERF",25,7,4,28,1,11,6,6,11,0,0,1
236,"Langensalza","ERF",44,1,7,47,0,0,0,1,0,0,0,0
237,"Weissensee","ERF",28,6,2,32,0,0,0,0,0,0,0,0
238,"Erfurt","ERF",33,11,2,42,0,11,1,3,11,4,0,1
239,"Ziegenrück","ERF",9,24,2,18,0,0,0,0,0,0,0,0
240,"Schleusingen","ERF",19,12,8,23,0,0,0,0,0,0,0,3
241,"Tecklenburg","MUN",13,0,0,18,0,9,2,2,11,12,0,3
242,"Warendorf","MUN",2,0,0,3,0,16,0,13,15,27,0,1
243,"Beckum","MUN",0,0,0,0,0,18,0,16,18,30,0,4
244,"Lüdinghausen","MUN",0,0,1,1,0,19,1,11,19,36,0,5
245,"Landkreis Münster","MUN",0,0,0,0,0,22,0,12,24,29,0,2
246,"Stadt Münster","MUN",1,0,0,2,0,7,0,5,7,29,0,1
247,"Steinfurt","MUN",2,0,2,4,0,19,0,7,19,34,0,2
248,"Coesfeld","MUN",1,0,1,2,0,15,1,11,16,42,0,5
249,"Ahaus","MUN",4,0,0,2,0,17,0,8,16,41,0,4
250,"Borken","MUN",4,0,0,4,0,16,2,4,17,33,0,4
251,"Recklinghausen","MUN",1,0,0,1,0,23,5,11,27,49,0,1
252,"Minden","MIN",26,0,10,29,0,1,0,1,2,1,1,3
253,"Lübbecke","MIN",14,0,7,17,0,1,0,0,1,0,0,3
254,"Herfort","MIN",20,0,7,29,0,2,0,0,2,0,0,4
255,"Halle","MIN",8,0,0,12,0,1,0,2,1,2,0,4
256,"Bielefeld","MIN",9,0,1,15,0,2,0,0,2,2,0,2
257,"Wiedenbrück","MIN",3,0,0,5,0,14,0,11,14,17,0,3
258,"Paderborn","MIN",1,1,0,1,0,18,0,24,18,20,0,1
259,"Büren","MIN",2,0,0,2,0,27,0,25,27,17,0,8
260,"Warburg","MIN",1,2,0,1,0,30,0,12,31,13,0,13
261,"Höxter","MIN",4,0,0,5,1,37,1,36,37,27,0,17
262,"Arnsberg","ARN",2,0,0,2,0,19,3,41,19,24,0,5
263,"Meschede","ARN",2,0,0,2,0,19,3,131,21,18,0,4
264,"Brillon","ARN",1,0,0,3,0,26,8,38,25,25,0,7
265,"Lippstadt","ARN",3,0,3,5,0,24,0,39,23,26,0,8
266,"Soest","ARN",17,1,0,19,0,11,0,25,11,18,0,5
267,"Hamm","ARN",23,0,1,27,0,9,0,0,9,2,0,3
268,"Dortmund","ARN",26,0,1,36,0,10,1,1,10,5,0,6
269,"Bochum","ARN",22,0,2,24,1,8,0,3,7,10,0,3
270,"Hagen","ARN",21,0,1,25,2,4,1,1,4,3,0,2
271,"Iserlohn","ARN",13,0,1,16,0,4,1,5,5,5,0,7
272,"Altena","ARN",17,0,1,23,0,3,0,0,3,0,0,3
273,"Olpe","ARN",0,1,1,2,0,18,1,75,18,18,0,2
274,"Siegen","ARN",15,0,49,16,0,5,0,13,4,3,0,0
275,"Wittgenstein","ARN",12,10,3,14,0,1,0,1,1,0,0,3
276,"Wipperfurt","KOL",2,1,0,2,0,10,1,11,10,13,0,0
277,"Gummersbach","KOL",12,0,0,13,0,2,0,1,2,2,0,1
278,"Waldbroel","KOL",5,0,2,6,0,7,0,8,7,2,0,0
279,"Sieg","KOL",8,0,2,8,0,37,0,27,37,23,0,7
280,"Mühlheim","KOL",3,0,0,4,0,22,2,14,21,19,0,2
281,"Stadt Cöln","KOL",2,0,2,4,0,19,0,11,19,28,0,1
282,"Landkreis Cöln","KOL",1,0,2,2,0,39,2,15,39,13,0,5
283,"Bergheim","KOL",1,0,0,1,0,34,3,10,34,22,0,6
284,"Euskirchen","KOL",0,0,0,0,0,35,9,14,35,18,0,5
285,"Rheinbach","KOL",1,1,0,1,0,35,4,29,35,15,0,6
286,"Bonn","KOL",1,0,0,4,1,32,1,45,32,16,0,7
287,"Cleve","DUS",11,0,0,10,1,35,0,6,35,27,2,4
288,"Rees","DUS",17,0,0,19,0,19,0,2,19,21,1,4
289,"Duisburg","DUS",22,2,0,30,1,20,1,9,22,26,0,7
290,"Geldern","DUS",21,1,2,21,2,44,0,27,44,45,0,8
291,"Kempen","DUS",6,0,0,4,0,23,0,11,23,34,0,8
292,"Crefeld","DUS",2,1,0,4,0,11,0,4,11,19,1,4
293,"Düsseldorf","DUS",9,0,1,11,2,21,5,19,26,33,0,4
294,"Elberfeld","DUS",21,3,0,35,0,9,0,0,8,6,0,4
295,"Lennep","DUS",14,0,1,20,1,8,0,0,8,2,0,0
296,"Solingen","DUS",11,0,2,14,1,15,2,5,15,9,0,3
297,"Neuss","DUS",1,0,0,1,0,20,1,10,20,23,0,6
298,"Grevenbroich","DUS",5,0,0,5,0,23,0,10,23,17,0,7
299,"Gladbach","DUS",4,0,0,5,0,13,0,3,13,24,0,8
300,"Simmern","KOB",22,14,6,26,0,18,8,16,12,0,0,5
301,"Coblenz","KOB",4,0,1,4,0,27,7,9,27,12,0,11
302,"St. Goar","KOB",9,2,0,10,0,26,13,30,25,3,0,8
303,"Kreuznach","KOB",32,18,6,34,0,25,17,3,23,2,0,20
304,"Zell","KOB",8,4,0,11,0,22,8,10,22,1,0,1
305,"Kochheim","KOB",0,0,1,0,1,34,5,41,35,3,0,6
306,"Mayen","KOB",1,0,0,1,0,40,0,50,39,7,0,13
307,"Adenau","KOB",0,0,0,0,0,26,1,90,24,3,0,0
308,"Ahrweiler","KOB",2,0,0,2,0,35,2,36,34,8,0,7
309,"Neuwied","KOB",18,1,1,22,0,20,6,38,24,11,1,17
310,"Altenkirchen","KOB",11,1,5,14,0,9,2,11,11,2,0,2
311,"Wetzlar","KOB",38,25,15,36,3,1,1,0,1,1,0,13
312,"Daun","TRI",0,0,0,0,0,35,42,24,33,3,0,0
313,"Prüm","TRI",1,0,0,1,0,44,52,4,40,5,0,0
314,"Bitburg","TRI",0,0,0,0,0,51,61,17,47,5,0,0
315,"Wittlich","TRI",0,0,0,0,0,44,40,9,41,4,0,3
316,"Trier (Stadt)","TRI",1,0,1,2,0,10,11,11,10,9,0,1
317,"Trier (Land)","TRI",1,0,0,1,0,70,52,19,63,4,0,9
318,"Berncastel","TRI",14,8,4,14,0,32,26,7,31,6,0,9
319,"Saarburg","TRI",0,0,0,0,0,35,43,5,35,2,0,3
320,"Merzig","TRI",0,0,0,0,0,22,31,7,22,4,0,2
321,"Saarlouis","TRI",1,0,0,0,0,34,4,21,33,2,0,8
322,"Saarbrücken","TRI",12,6,1,12,1,11,5,1,10,1,0,1
323,"Ottweiler","TRI",4,2,0,5,0,13,4,1,13,1,0,5
324,"St. Wendel","TRI",15,12,1,15,0,16,2,2,15,1,0,5
325,"Erkelens","AAC",3,0,0,3,0,24,1,12,24,17,0,1
326,"Heinsberg","AAC",2,0,0,2,0,30,1,10,30,14,0,3
327,"Geilenkirchen","AAC",2,1,0,2,0,22,1,6,42,11,0,3
328,"Jülich","AAC",3,1,0,4,0,41,2,11,21,29,0,7
329,"Düren","AAC",2,0,0,2,0,55,18,26,55,29,0,9
330,"Stadt Aachen","AAC",1,0,0,2,0,8,3,8,8,17,0,1
331,"Landkreis Aachen","AAC",5,0,0,5,0,36,0,17,36,28,0,3
332,"Eupen","AAC",1,0,0,1,0,7,3,14,7,10,0,0
333,"Montjoie","AAC",4,0,0,4,0,18,2,0,18,5,0,0
334,"Schleiden","AAC",4,0,0,3,0,52,4,41,52,6,0,4
335,"Malmedy","AAC",0,0,2,1,0,30,6,50,30,15,0,0
