kreiskey1882,county,rb,occ1882_se_agr_pr,occ1882_emp_agr_pr,occ1882_se_for_pr,occ1882_emp_for_pr,occ1882_se_agr_cat,occ1882_emp_agr_cat,occ1882_se_for_cat,occ1882_emp_for_cat,occ1882_se_agr_jew,occ1882_emp_agr_jew,occ1882_se_for_jew,occ1882_emp_for_jew,occ1882_se_agr_tot,occ1882_emp_agr_tot,occ1882_se_for_tot,occ1882_emp_for_tot
226,"WOLMIRSTEDT","MAG",1812,8683,7,99,7,435,0,2,0,0,0,0,1819,9118,7,101
227,"NEUHALDENSLEBEN","MAG",1525,8938,3,157,3,1475,0,2,0,0,0,0,1528,10413,3,159
228,"OSCHERSLEBEN","MAG",1415,7804,7,31,21,2234,1,2,0,1,0,0,1436,10040,8,33
229,"ASCHERSLEBEN","MAG",1446,8718,7,84,7,960,0,0,1,0,0,0,1455,9678,7,84
230,"HALBERSTADT","MAG",1830,7198,3,17,14,739,0,0,0,0,0,0,1846,7943,3,17
231,"WERNIGERODE","MAG",668,2014,9,241,1,7,0,4,0,0,0,0,669,2024,9,245
232,"LIEBENWERDA","MER",3231,6330,17,95,1,44,0,0,0,0,0,0,3232,6374,17,95
233,"TORGAU","MER",2551,8071,29,140,1,71,0,1,0,1,0,0,2552,8143,29,141
234,"SCHWEINITZ","MER",3350,6872,7,95,0,37,0,1,0,0,0,0,3350,6909,7,96
235,"WITTENBERG","MER",2380,6623,19,79,1,17,0,0,0,0,0,0,2381,6641,19,80
236,"BITTERFELD","MER",1904,5649,8,128,3,49,0,2,0,0,0,0,1907,5698,8,130
237,"SAALKREIS","MER",2279,9182,17,28,1,272,0,0,0,0,0,0,2280,9455,17,28
238,"HALLE","MER",91,322,21,7,1,49,0,2,0,1,0,0,92,372,21,9
239,"DELITZSCH","MER",2393,9205,5,72,1,55,0,1,0,0,0,0,2394,9260,5,73
240,"MANSFELDER GEBIRGSKR","MER",1147,4373,3,248,1,128,0,1,0,0,0,0,1148,4501,3,249
241,"MANSFELDER SEEKREIS","MER",1224,9062,22,28,2,578,0,0,0,0,0,0,1226,9642,22,28
242,"SANGERHAUSEN","MER",2712,8860,2,248,5,232,0,0,0,0,0,0,2717,9092,2,248
243,"ECKARTSBERGA","MER",2768,6493,3,42,0,74,0,0,0,0,0,0,2768,6567,3,42
244,"QUERFURT","MER",2743,9573,5,86,1,346,0,0,0,1,0,0,2747,9922,5,86
245,"MERSEBURG","MER",2762,9026,23,34,1,287,1,1,0,0,0,0,2763,9314,24,35
246,"WEISSENFELS","MER",2662,7428,13,18,1,166,0,0,0,0,0,0,2663,7595,13,18
247,"NAUMBURG","MER",1152,2069,8,24,0,53,0,1,0,0,0,0,1152,2122,8,25
248,"ZEITZ","MER",1130,4356,1,33,0,182,0,0,0,0,0,0,1130,4538,1,33
249,"NORDHAUSEN","ERF",54,218,0,1,1,51,1,0,0,0,0,0,56,269,1,1
250,"NORDHAUSEN","ERF",1432,4347,3,99,2,63,0,0,0,0,0,0,1434,4411,3,99
251,"WORBIS","ERF",375,981,10,33,1455,2987,8,50,0,0,0,0,1830,3969,18,83
252,"HEILIGENSTADT","ERF",116,376,4,17,1545,4685,0,42,0,0,0,0,1661,5061,4,59
253,"MUHLHAUSEN","ERF",1610,3064,0,42,819,1521,0,22,0,0,0,0,2429,4585,0,64
254,"LANGENSALZA","ERF",2757,4355,0,50,1,45,0,0,0,0,0,0,2758,4401,0,50
255,"WEISSENSEE","ERF",1885,3924,0,1,2,13,0,0,0,0,0,0,1889,3939,0,1
256,"ERFURT","ERF",157,1218,4,4,26,206,0,0,1,3,0,0,185,1431,4,4
257,"ERFURT","ERF",1926,3952,0,8,244,455,0,2,0,0,0,0,2170,4407,0,10
258,"ZIEGENRUCK","ERF",953,2026,0,27,0,3,0,0,0,0,0,0,953,2029,0,27
259,"SCHLEUSINGEN","ERF",1155,2676,34,509,3,12,6,3,0,0,0,0,1159,2689,40,512
260,"HADERSLEBEN","SCH",5223,9389,83,40,1,4,0,0,0,0,0,0,5232,9409,83,40
261,"APENRADE","SCH",1920,4545,99,17,0,0,0,0,0,0,0,0,1922,4546,99,17
262,"SONDERBURG","SCH",2133,4727,195,28,0,1,0,0,0,0,0,0,2134,4734,196,28
263,"FLENSBURG","SCH",3534,7188,144,34,2,3,0,0,0,0,0,0,3536,7191,144,34
264,"SCHLESWIG","SCH",3846,6635,117,68,1,2,1,1,0,0,0,0,3850,6644,118,69
265,"ECKERNFORDE","SCH",1702,5868,177,113,0,9,0,0,1,0,0,0,1704,5878,177,113
266,"EIDERSTEDT","SCH",950,1931,26,5,0,0,0,0,0,0,0,0,950,1932,26,5
267,"HUSUM","SCH",2690,4920,12,9,12,64,0,0,0,1,0,0,2704,4990,12,9
268,"TONDERN","SCH",4757,8237,34,10,0,0,0,0,0,0,0,0,4757,8238,34,10
269,"OLDENBURG","SCH",1555,8264,198,142,0,7,0,0,0,1,0,0,1555,8272,198,142
270,"PLON","SCH",1439,8311,141,258,1,13,0,0,0,0,0,0,1440,8326,141,258
271,"KIEL","SCH",1612,5245,57,42,0,7,0,0,0,0,0,0,1612,5252,57,42
272,"RENDSBURG","SCH",2771,6975,11,54,1,2,0,0,0,0,0,0,2773,6978,11,54
273,"NORDERDITHMARSCHEN","SCH",1975,4735,22,13,0,200,0,0,0,0,0,0,1975,4935,22,13
274,"SUDERDITHMARSCHEN","SCH",2498,6228,29,9,0,58,0,0,0,0,0,0,2498,6286,29,9
275,"STEINBURG","SCH",2909,7309,49,38,1,8,0,0,0,0,0,0,2910,7317,49,38
276,"SEGEBERG","SCH",2240,7294,8,92,2,6,0,0,0,0,0,0,2242,7300,9,92
277,"STORMARN","SCH",2457,9058,5,84,4,20,0,0,2,0,0,0,2465,9079,5,84
278,"PINNEBERG","SCH",2656,8181,114,149,3,10,0,0,0,0,0,0,2659,8193,114,149
279,"ALTONA","SCH",107,365,0,11,3,9,0,0,0,0,0,0,110,375,0,11
280,"LAUENBURG","SCH",2122,8509,21,312,1,32,0,0,0,0,0,0,2123,8541,21,312
281,"DIEPHOLZ","HAN",6513,7522,2,20,399,537,0,0,1,3,0,0,6923,8073,2,20
282,"HOYA","HAN",5833,6560,6,33,2,3,0,4,0,0,0,0,5836,6565,6,37
283,"NIENBURG","HAN",5703,6949,8,133,2,16,0,1,0,1,0,0,5705,6966,8,134
284,"HANNOVER","HAN",293,698,19,12,8,41,3,1,0,0,0,0,301,739,22,13
285,"HANNOVER","HAN",4602,9178,5,113,9,165,0,3,0,0,0,0,4612,9347,5,116
286,"WENNIGSEN","HAN",2190,6245,5,227,3,280,0,0,1,6,0,0,2194,6535,5,227
287,"HAMELN","HAN",2444,5723,16,183,4,176,0,2,0,0,0,0,2449,5899,16,185
288,"HILDESHEIM","HIL",2419,4570,2,23,746,2382,0,20,0,0,0,0,3166,6952,2,43
289,"MARIENBURG","HIL",2174,6273,6,97,490,1788,0,50,0,0,0,0,2665,8061,6,147
290,"LIEBENBURG","HIL",1783,7093,5,136,59,1096,1,24,0,0,0,0,1843,8194,6,160
291,"OSTERODE AM HARZ","HIL",1765,3871,13,348,1566,2088,7,29,1,1,0,0,3332,5961,20,377
292,"GOTTINGEN","HIL",2881,7253,14,362,16,304,1,5,0,0,0,0,2897,7557,15,367
293,"EINBECK","HIL",3139,8818,16,652,29,271,1,5,1,2,0,0,3173,9096,17,657
294,"ZELLERFELD","HIL",580,1351,20,1015,0,6,0,0,0,0,0,0,580,1360,20,1015
295,"CELLE","LUN",4605,9274,10,172,11,115,0,2,1,0,0,0,4620,9389,10,174
296,"GIFHORN","LUN",4810,9674,9,232,2,151,0,0,0,0,0,0,4819,9841,9,232
297,"FALLINGBOSTEL","LUN",4763,8940,14,153,3,10,1,1,1,0,0,0,4768,8951,15,154
298,"ULZEN","LUN",2825,9252,4,236,1,4,0,0,0,0,0,0,2831,9270,4,236
299,"DANNENBERG","LUN",5410,10177,24,301,0,3,0,0,0,0,0,0,5410,10180,24,301
300,"LUNEBURG","LUN",2675,7109,32,175,2,19,0,0,0,0,0,0,2677,7128,32,175
301,"HARBURG","LUN",4948,9391,190,218,2,5,1,0,0,0,0,0,4955,9401,191,218
302,"STADER MARSCHKREIS","STA",2170,5806,32,22,0,3,0,0,0,1,0,0,2172,5812,32,22
303,"STADER GEESTKREIS","STA",4861,6950,8,26,2,11,0,1,1,1,0,0,4864,6962,8,27
304,"NEUHAUS","STA",2089,4044,15,7,0,1,0,0,0,1,0,0,2089,4046,15,7
305,"OTTERNDORF","STA",1158,3053,10,3,1,2,0,0,0,0,0,0,1161,3056,10,3
306,"LEHE","STA",3653,7482,9,26,6,20,1,1,0,1,0,0,3661,7504,10,27
307,"OSTERHOLZ","STA",3255,5163,7,19,3,21,0,1,0,0,0,0,3262,5186,7,20
308,"VERDEN","STA",4331,4960,4,22,3,10,0,1,0,1,0,0,4335,4971,4,23
309,"ROTENBURG","STA",4479,5525,3,30,1,2,0,0,0,0,0,0,4480,5527,3,30
310,"MEPPEN","OSN",36,75,0,1,6729,10811,1,28,2,3,0,0,6767,10890,1,29
311,"LINGEN","OSN",2924,4558,5,12,3929,5187,1,4,1,0,0,0,6854,9745,6,16
312,"BERSENBRUCK","OSN",3167,3451,2,9,2690,3344,0,5,0,0,0,0,5857,6795,2,14
313,"OSNABRUCK","OSN",3820,4134,5,25,1638,1792,1,29,0,0,0,0,5458,5927,6,54
314,"MELLE","OSN",2949,3130,3,13,2860,3077,0,10,0,0,0,0,5809,6207,3,23
315,"AURICH","AUR",5870,10614,15,73,3,67,0,0,0,0,0,0,5901,10709,15,73
316,"EMDEN","AUR",1920,8470,88,226,9,7,0,1,3,0,0,0,1943,8495,88,227
317,"LEER","AUR",4391,8966,63,35,292,398,0,1,0,0,0,0,4751,9468,65,36
318,"TECKLENBURG","MUN",3298,3709,0,4,1583,2531,0,6,0,1,0,0,4881,6241,0,10
319,"WARENDORF","MUN",9,37,0,1,2795,4959,0,25,1,1,0,0,2805,4997,0,26
320,"BECKUM","MUN",13,53,0,0,2790,5939,1,35,0,0,0,0,2803,5992,1,35
321,"LUDINGHAUSEN","MUN",7,27,1,4,2315,6376,0,53,1,1,0,0,2323,6404,1,57
322,"MUNSTER","MUN",1,22,0,1,149,414,2,6,0,0,0,0,150,436,2,7
323,"MUNSTER","MUN",4,44,0,0,2998,7279,1,31,0,0,0,0,3002,7323,1,31
324,"STEINFURT","MUN",278,510,0,2,3312,4916,2,8,2,0,0,0,3594,5431,2,10
325,"KOESFELD","MUN",2,11,2,2,3235,6901,1,22,0,0,0,0,3237,6912,3,24
326,"AHAUS","MUN",47,31,0,1,4213,5368,0,7,1,2,0,0,4261,5401,0,8
327,"BORKEN","MUN",118,146,1,0,3429,6849,11,12,2,2,0,0,3549,6997,12,12
328,"RECKLINGHAUSEN","MUN",21,88,0,1,2613,6152,3,69,0,0,0,0,2634,6240,3,70
329,"MINDEN","MIN",5153,7646,15,136,8,26,2,6,1,2,0,0,5163,7676,17,142
330,"LUBBECKE","MIN",5542,5892,0,14,4,4,0,1,0,1,0,0,5548,5897,0,15
331,"HERFORD","MIN",5499,7990,2,5,10,17,1,2,1,0,0,0,5510,8007,3,7
332,"HALLE","MIN",3490,3473,0,2,33,63,0,6,0,0,0,0,3528,3541,0,8
333,"BIELEFELD","MIN",184,173,0,0,5,7,1,0,0,0,0,0,189,180,1,0
334,"BIELEFELD","MIN",3188,3866,0,5,56,59,0,0,0,0,0,0,3250,3927,0,5
335,"WIEDENBRUCK","MIN",557,926,1,7,4087,4495,0,7,0,0,0,0,4644,5421,1,14
336,"PADERBORN","MIN",37,75,0,8,2667,4638,2,26,0,0,0,0,2704,4713,2,34
337,"BUREN","MIN",16,65,3,27,2456,5753,2,98,4,1,0,0,2476,5819,5,125
338,"WARBURG","MIN",60,337,1,11,1502,4558,2,38,4,7,0,0,1566,4903,3,49
339,"HOXTER","MIN",104,342,8,24,2149,5972,7,81,2,2,0,0,2255,6316,15,105
340,"ARNSBERG","ARN",9,54,4,9,1428,3336,8,160,0,1,0,0,1437,3391,12,169
341,"MESCHEDE","ARN",9,77,0,6,1877,4103,1,82,0,1,0,0,1886,4181,1,88
342,"BRILON","ARN",17,149,2,9,2054,3063,3,105,5,5,0,0,2077,3220,5,114
343,"LIPPSTADT","ARN",54,82,0,0,1679,4290,1,34,3,3,0,0,1736,4375,1,34
344,"SOEST","ARN",1273,2824,0,5,1398,3531,1,58,0,1,0,0,2671,6356,1,63
345,"HAMM","ARN",1764,3666,8,4,565,1539,3,7,1,3,0,0,2330,5208,11,11
346,"DORTMUND","ARN",63,159,1,1,29,132,0,2,0,2,0,0,92,293,1,3
347,"DORTMUND","ARN",1292,2951,1,23,316,1454,1,28,0,2,0,0,1609,4407,2,51
348,"BOCHUM","ARN",7,38,1,0,11,37,0,0,0,0,0,0,18,75,1,0
349,"BOCHUM","ARN",1132,2455,0,13,407,1721,1,8,1,1,0,0,1542,4179,1,21
350,"HAGEN","ARN",1746,3011,0,32,110,517,0,9,0,0,0,0,1870,3535,0,41
351,"ISERLOHN","ARN",505,1107,1,34,364,1011,0,30,0,0,0,0,871,2120,1,64
352,"ALTENA","ARN",2533,2681,2,9,70,286,0,7,0,0,0,0,2613,2975,2,16
353,"OLPE","ARN",15,64,1,7,2100,3752,6,33,0,0,0,0,2115,3816,7,40
354,"SIEGEN","ARN",2436,3396,2,29,649,1080,1,18,0,0,0,0,3108,4496,3,47
355,"WITTGENSTEIN","ARN",1435,2795,5,135,25,51,1,3,1,4,0,0,1463,2853,6,138
356,"KASSEL","KAS",139,425,15,10,6,19,0,1,1,2,0,0,146,446,15,11
357,"KASSEL","KAS",1683,5330,8,95,3,21,0,4,2,1,0,0,1693,5357,8,100
358,"ESCHWEGE","KAS",1977,5072,10,89,9,64,0,3,6,8,0,0,1996,5150,10,92
359,"FRITZLAR","KAS",1298,3879,3,32,63,200,0,3,3,1,0,0,1364,4080,3,35
360,"HOFGEISMAR","KAS",1801,4695,10,200,2,60,1,2,3,2,0,0,1814,4772,11,203
361,"HOMBERG","KAS",1388,3771,3,40,0,14,0,0,4,3,0,0,1393,3797,3,40
362,"MELSUNGEN","KAS",1380,3863,7,75,0,10,0,0,7,6,0,0,1388,3883,7,75
363,"ROTENBURG","KAS",1474,4590,10,75,6,17,1,6,0,0,0,0,1483,4613,11,81
364,"WITZENHAUSEN","KAS",1187,3611,11,161,4,28,1,2,0,0,0,0,1195,3659,12,163
365,"WOLFHAGEN","KAS",1345,2983,3,65,235,335,1,6,3,1,0,0,1584,3322,4,71
366,"MARBURG","KAS",2530,6628,7,62,41,119,1,2,2,5,0,0,2595,6785,8,64
367,"FRANKENBERG","KAS",2020,3531,9,63,3,6,0,2,7,11,0,0,2038,3555,9,65
368,"KIRCHHAIN","KAS",1006,2348,3,32,818,1472,0,11,7,8,0,0,1832,3828,3,43
369,"ZIEGENHAIN","KAS",2216,5370,10,84,1,0,0,2,4,2,0,0,2223,5373,10,86
370,"FULDA","KAS",25,61,4,18,3178,6398,4,38,0,0,0,0,3203,6459,8,56
371,"HERSFELD","KAS",1753,4216,10,62,2,17,0,4,1,0,0,0,1759,4239,10,66
372,"HUNFELD","KAS",498,1183,4,19,1416,2913,2,19,2,6,0,0,1916,4102,6,38
373,"HANAU","KAS",2823,4665,3,46,318,956,4,18,2,5,0,0,3149,5630,7,64
374,"GELNHAUSEN","KAS",2406,3699,12,103,1305,2018,0,79,9,7,0,0,3722,5732,12,182
375,"SCHLUCHTERN","KAS",1436,3149,5,68,601,1215,2,13,7,11,0,0,2044,4375,7,81
376,"SCHMALKALDEN","KAS",837,2032,10,345,0,0,0,1,0,0,0,0,837,2032,10,346
377,"RINTELN","KAS",1918,4324,7,89,2,65,0,7,0,0,0,0,1920,4389,7,96
378,"GERSFELD","KAS",719,1331,3,19,1271,2492,1,16,20,12,0,1,2010,3835,4,36
379,"DILLKREIS","WIE",3290,4159,5,60,8,21,0,8,0,0,0,0,3345,4223,5,69
380,"OBERWESTERWALDKREIS","WIE",2980,3103,2,22,1404,1630,2,15,3,8,0,0,4387,4742,4,37
381,"UNTERWESTERWALDKREIS","WIE",825,719,3,15,4270,5724,1,56,5,11,0,0,5100,6454,4,71
382,"OBERLAHNKREIS","WIE",2260,2744,6,33,2033,2876,1,21,4,10,0,0,4298,5631,7,54
383,"UNTERLAHNKREIS","WIE",4041,5127,7,46,858,1505,1,14,11,21,0,0,4911,6653,8,60
384,"RHEINGAUKREIS","WIE",1455,1392,14,21,2578,4612,9,66,3,7,0,0,4039,6011,23,87
385,"WIESBADEN","WIE",101,309,9,11,41,188,3,1,0,0,0,0,143,498,12,12
386,"WIESBADEN","WIE",1929,2656,14,14,1225,2321,30,27,6,5,0,0,3161,4982,44,41
387,"OBERTAUNUSKREIS","WIE",2097,2216,5,155,1360,1880,3,37,6,5,0,0,3464,4106,8,192
388,"UNTERTAUNUSKREIS","WIE",3039,3413,7,48,929,1261,0,22,4,11,0,0,3972,4685,7,70
389,"FRANKFURT","WIE",750,1633,38,20,76,1148,3,2,2,5,0,0,831,2790,42,22
390,"BIEDENKOPF","WIE",3926,6632,6,54,2,6,1,7,11,5,0,0,3951,6650,7,61
391,"KOBLENZ","KOB",337,254,3,2,2862,4481,14,24,7,9,0,0,3209,4744,17,26
392,"SANKT GOAR","KOB",847,685,1,12,3519,4401,11,33,5,3,0,0,4378,5092,12,45
393,"KREUZNACH","KOB",2682,4009,13,49,1622,3207,12,124,7,2,0,0,4337,7235,25,174
394,"SIMMERN","KOB",2638,2940,4,30,1418,1787,1,44,0,8,0,0,4065,4742,5,74
395,"ZELL","KOB",1354,1130,0,15,2855,2698,7,25,1,0,0,0,4210,3828,7,40
396,"KOCHEM","KOB",3,7,3,3,4613,6355,16,24,9,9,0,0,4625,6371,19,27
397,"MAYEN","KOB",8,15,0,3,4643,6650,2,26,16,24,0,0,4676,6696,2,29
398,"ADENAU","KOB",2,2,1,5,3209,3001,2,31,0,0,0,0,3211,3003,3,36
399,"AHRWEILER","KOB",56,77,1,5,3505,4885,16,48,3,7,0,0,3564,4969,17,53
400,"NEUWIED","KOB",2275,2842,3,40,3650,5857,10,29,13,12,0,0,5939,8712,13,69
401,"ALTENKIRCHEN","KOB",2331,3240,5,25,1603,2472,3,34,3,1,0,0,3938,5714,8,59
402,"WETZLAR","KOB",4434,5266,11,63,17,39,0,12,3,7,0,0,4470,5339,11,75
403,"MEISENHEIM","KOB",1411,1969,1,9,137,325,0,4,0,6,0,0,1548,2300,1,13
404,"KLEVE","DUS",410,691,2,15,2220,6026,13,61,1,1,0,0,2631,6718,15,76
405,"REES","DUS",1140,2001,0,22,1620,4023,9,24,1,2,0,0,2762,6026,9,46
406,"KREFELD","DUS",29,96,0,0,115,487,0,4,1,0,0,0,145,584,0,4
407,"KREFELD","DUS",31,81,0,0,1212,3187,0,8,1,1,0,0,1244,3269,0,8
408,"DUISBURG","DUS",81,202,4,4,29,137,2,4,0,0,0,0,110,339,6,8
409,"MULHEIM","DUS",1511,2603,2,26,602,1071,3,27,1,0,0,0,2120,3680,5,55
410,"ESSEN","DUS",10,37,0,0,20,42,0,0,0,0,0,0,30,79,0,0
411,"ESSEN","DUS",166,475,0,3,765,1761,0,12,1,0,0,0,932,2236,0,15
412,"MORS","DUS",1728,3822,1,14,1773,4764,17,64,3,0,0,0,3504,8586,18,78
413,"GELDERN","DUS",127,197,1,2,2842,7934,2,32,0,1,0,0,2969,8132,3,34
414,"KEMPEN","DUS",92,144,0,2,2901,6994,3,13,0,0,0,0,2993,7138,3,15
415,"DUSSELDORF","DUS",22,99,1,2,805,1745,2,4,0,0,0,0,827,1845,3,6
416,"DUSSELDORF","DUS",457,915,2,6,1222,3929,9,71,0,0,0,0,1681,4849,11,77
417,"ELBERFELD","DUS",197,467,0,6,35,143,0,2,0,0,0,0,233,615,0,8
418,"BARMEN","DUS",210,422,0,4,27,96,1,2,0,0,0,0,238,518,1,6
419,"METTMANN","DUS",1067,2051,0,4,179,970,0,5,1,0,0,0,1256,3031,0,9
420,"LENNEP","DUS",1904,2240,0,5,205,466,0,2,2,0,0,0,2152,2742,0,7
421,"SOLINGEN","DUS",1515,1453,1,1,1309,2476,11,21,1,0,0,0,2830,3936,12,22
422,"NEUSS","DUS",2,22,0,0,2515,5344,0,8,1,5,0,0,2518,5371,0,8
423,"GREVENBROICH","DUS",395,448,0,1,1895,4393,0,1,3,4,0,0,2294,4845,0,2
424,"GLADBACH","DUS",208,410,0,2,2326,3896,1,8,2,0,0,0,2540,4310,1,10
425,"WIPPERFURTH","KOL",218,286,0,0,2432,3622,3,7,0,0,0,0,2650,3908,3,7
426,"WALDBROL","KOL",1677,1566,0,5,643,867,0,3,0,0,0,0,2323,2435,0,8
427,"GUMMERSBACH","KOL",2651,2079,0,6,216,264,0,3,0,0,0,0,2873,2343,0,9
428,"SIEGKREIS","KOL",1014,1067,0,4,7256,8959,22,47,0,4,0,0,8274,10032,22,51
429,"MULHEIM","KOL",199,301,0,7,2823,5233,4,77,0,0,0,0,3022,5536,4,84
430,"KOLN","KOL",7,20,1,0,175,329,0,0,1,2,0,0,183,351,1,0
431,"KOLN","KOL",28,98,1,4,3614,9239,32,35,2,3,0,2,3645,9345,33,41
432,"BERGHEIM","KOL",27,25,0,1,2802,6502,1,30,1,6,0,0,2830,6533,1,31
433,"EUSKIRCHEN","KOL",8,22,0,0,2576,5470,2,11,3,0,0,1,2587,5492,2,12
434,"RHEINBACH","KOL",9,20,0,2,2919,4874,0,59,7,11,0,0,2935,4905,0,61
435,"BONN","KOL",36,82,1,3,3843,6441,2,23,5,5,0,0,3884,6528,3,26
436,"DAUN","TRI",1,2,1,2,3570,5296,8,35,0,0,0,0,3571,5298,9,37
437,"PRUM","TRI",1,1,0,3,3403,6824,0,38,0,0,0,0,3404,6825,0,41
438,"BITBURG","TRI",1,5,1,0,3997,9387,12,34,1,0,0,0,3999,9392,13,34
439,"WITTLICH","TRI",6,10,1,6,4934,7506,4,68,4,2,0,0,4946,7519,5,74
440,"BERNKASTEL","TRI",1686,1921,5,75,4119,4169,11,107,4,5,0,0,5813,6095,16,182
441,"TRIER","TRI",3,23,3,7,700,1284,33,37,1,0,0,0,704,1307,36,44
442,"TRIER","TRI",33,72,3,31,7495,13761,6,209,7,16,0,0,7537,13854,9,240
443,"SAARBURG","TRI",0,2,0,5,2711,5494,11,43,3,1,0,0,2714,5497,11,48
444,"MERZIG","TRI",1,3,0,2,2727,5461,3,46,1,7,0,0,2729,5471,3,48
445,"SAARLOUIS","TRI",14,17,2,7,3454,6875,12,40,1,10,0,0,3473,6908,14,47
446,"SAARBRUCKEN","TRI",680,1107,2,36,871,1955,3,111,2,0,0,0,1553,3066,5,147
447,"OTTWEILER","TRI",425,780,1,29,1192,2525,0,60,8,13,0,0,1633,3322,1,89
448,"SANKT WENDEL","TRI",2394,3207,0,19,1687,2572,1,17,4,2,0,0,4086,5782,1,36
449,"ERKELENZ","AAC",193,189,0,0,2795,4778,0,12,1,0,0,0,2989,4967,0,12
450,"HEINSBERG","AAC",47,54,0,2,3730,3825,4,16,2,1,0,0,3779,3880,4,18
451,"GEILENKIRCHEN","AAC",13,34,0,0,2338,3640,0,3,0,0,0,0,2351,3674,0,3
452,"JULICH","AAC",41,54,2,2,2998,5834,1,43,3,3,0,0,3042,5891,3,45
453,"DUREN","AAC",14,62,1,3,3597,7762,5,172,1,8,0,0,3612,7832,6,175
454,"AACHEN","AAC",6,23,1,1,210,686,1,7,0,0,0,0,216,709,2,8
455,"AACHEN","AAC",23,13,1,5,1986,4158,3,68,1,2,0,0,2010,4173,4,73
456,"EUPEN","AAC",2,0,0,2,803,1111,2,153,0,0,0,0,805,1111,2,155
457,"MONTJOIE","AAC",34,36,2,10,1927,2331,3,222,0,0,0,0,1961,2367,5,232
458,"SCHLEIDEN","AAC",131,115,2,7,3944,5552,4,99,0,1,0,0,4075,5668,6,106
459,"MALMEDY","AAC",2,10,0,1,3707,5886,1,28,0,1,0,0,3709,5897,1,29
460,"SIGMARINGEN","SIG",12,89,1,4,1671,3219,11,53,1,0,0,0,1684,3308,12,57
461,"GAMMERTINGEN","SIG",17,102,0,0,1783,1787,4,16,0,0,0,0,1800,1889,4,16
462,"HECHINGEN","SIG",12,87,0,0,2863,2539,1,20,2,0,0,0,2877,2626,1,20
463,"HAIGERLOCH","SIG",9,54,0,0,1759,1574,1,9,3,0,0,0,1771,1628,1,9
464,"BERLIN","BER",705,2698,41,60,36,226,2,7,7,4,0,0,750,2932,43,67
