kreiskey1882,county,rb,occ1882_se_utb_pr,occ1882_emp_utb_pr,occ1882_unemp_pr,occ1882_ukn_pr,occ1882_dom_pr,occ1882_wif_pr,occ1882_sum_pr,occ1882_se_utb_cat,occ1882_emp_utb_cat,occ1882_unemp_cat,occ1882_ukn_cat,occ1882_dom_cat,occ1882_wif_cat,occ1882_sum_cat,occ1882_se_utb_jew,occ1882_emp_utb_jew,occ1882_unemp_jew,occ1882_ukn_jew,occ1882_dom_jew,occ1882_wif_jew,occ1882_sum_jew,occ1882_se_utb_tot,occ1882_emp_utb_tot,occ1882_unemp_tot,occ1882_ukn_tot,occ1882_dom_tot,occ1882_wif_tot,occ1882_sum_tot
154,"WARTENBERG","BRE",0,8,772,2,725,18256,31204,0,2,453,3,472,10532,18501,0,0,9,0,8,288,443,0,10,1234,5,1205,29077,50149
155,"OLS","BRE",0,16,1388,8,1718,30733,56490,0,6,380,4,327,4983,9956,0,0,22,0,4,449,672,0,22,1790,12,2049,36165,67123
156,"TREBNITZ","BRE",0,9,1065,22,1080,21774,41049,0,4,337,12,304,5797,11267,0,0,2,0,1,79,130,0,13,1404,34,1386,27663,52474
157,"MILITSCH","BRE",0,17,819,86,982,24441,42287,0,6,264,19,309,5972,11145,0,0,6,3,1,218,335,0,23,1090,108,1292,30638,53783
158,"GUHRAU","BRE",0,15,1021,11,857,15357,29413,0,0,229,6,224,3487,7315,0,0,3,0,0,107,173,0,15,1253,17,1081,18961,36923
159,"STEINAU","BRE",0,26,492,10,575,10776,19680,0,5,103,1,187,2563,5079,0,0,6,0,2,87,154,0,31,602,11,764,13428,24918
160,"WOHLAU","BRE",0,12,995,30,995,18057,33758,0,4,447,14,377,7565,14446,0,0,15,0,0,84,173,0,16,1457,44,1372,25721,48405
161,"NEUMARKT","BRE",0,48,793,14,908,17068,31303,0,30,623,5,756,13793,25691,0,0,4,0,2,78,137,0,78,1424,19,1666,30984,57210
162,"BRESLAU","BRE",5,778,7928,226,9112,75866,154136,3,535,4768,181,6900,54357,106819,4,5,1421,17,109,10051,17252,12,1322,14153,425,16139,140655,278958
163,"BRESLAU","BRE",1,383,749,25,1092,26226,48255,0,232,470,7,728,16551,30799,0,0,13,0,1,98,156,1,615,1233,32,1821,42892,79241
164,"OHLAU","BRE",0,14,885,0,865,17642,32387,0,15,727,5,633,12475,24029,0,0,16,0,0,139,236,0,29,1628,5,1498,30266,56668
165,"BRIEG","BRE",0,73,2110,10,1558,26028,48695,0,36,966,2,499,3878,9970,0,0,34,0,0,373,572,0,109,3110,12,2057,30289,59256
166,"STREHLEN","BRE",0,102,795,41,775,15626,28882,0,6,149,8,258,3894,7492,0,0,12,0,0,101,162,0,108,956,49,1033,19633,36558
167,"NIMPTSCH","BRE",0,13,533,4,801,13520,24643,0,1,114,1,253,3769,7218,0,0,0,0,0,16,26,0,14,647,5,1054,17309,31892
168,"MUNSTERBERG","BRE",0,17,380,1,157,3382,6636,1,50,884,4,771,13698,26697,0,0,5,0,0,65,110,1,67,1270,5,928,17145,33444
169,"FRANKENSTEIN","BRE",0,18,302,8,243,5405,10135,0,39,1345,22,1127,20858,39941,0,0,7,0,1,92,147,0,57,1654,30,1371,26362,50233
170,"REICHENBACH","BRE",6,469,1013,23,1303,25482,48358,4,206,335,4,605,9283,19324,0,24,4,0,0,105,154,10,675,1354,27,1912,34931,67941
171,"SCHWEIDNITZ","BRE",4,467,2560,14,1973,30436,57855,2,238,1655,9,1140,17162,34054,0,0,15,0,1,275,443,6,707,4237,23,3119,47957,92525
172,"STRIEGAU","BRE",0,132,804,9,736,14162,25382,0,132,941,8,499,7760,15229,0,0,2,0,1,61,96,0,264,1750,18,1236,21999,40742
173,"WALDENBURG","BRE",3,586,2051,27,2080,47555,83189,0,202,424,7,899,16599,30102,0,0,9,0,4,280,429,3,794,2489,35,2986,64643,114077
174,"GLATZ","BRE",0,5,115,1,90,1803,3835,0,327,1544,41,1836,30855,59447,0,0,6,1,1,157,270,0,232,1665,43,1927,32930,63576
175,"NEURODE","BRE",3,5,28,1,31,854,1448,0,315,1125,27,968,27133,48519,0,0,0,0,0,11,14,3,320,1157,30,1005,28030,50053
176,"HABELSCHWERDT","BRE",0,5,87,2,28,715,1272,0,170,1542,38,1648,31625,60193,0,0,0,0,0,34,60,0,175,1629,40,1676,32388,61552
177,"GRUNBERG","LIE",1,234,950,32,1022,22490,41903,0,41,286,9,196,4742,8975,0,1,21,0,0,197,319,1,276,1259,41,1218,27443,51225
178,"FREISTADT","LIE",0,134,1115,37,1192,22850,43857,0,56,148,11,213,3273,6899,0,0,6,0,1,145,253,0,190,1272,48,1406,26297,51071
179,"SAGAN","LIE",1,383,1456,16,1040,25887,47676,0,118,286,11,251,4612,9139,0,0,12,0,1,123,207,1,501,1754,27,1292,30623,57025
180,"SPROTTAU","LIE",0,130,766,12,924,15588,30704,0,26,87,7,132,1929,4304,0,0,5,0,0,70,118,0,156,859,19,1056,17591,35142
181,"GLOGAU","LIE",0,42,1541,30,2214,26790,53587,0,22,594,17,780,9494,20934,0,0,81,0,3,617,1062,0,64,2218,47,2999,36924,75623
182,"LUBEN","LIE",0,53,797,5,760,16196,30097,0,5,65,0,87,1662,3520,0,0,3,0,0,51,82,0,58,865,5,847,17909,33699
183,"BUNZLAU","LIE",0,127,1950,19,1623,26549,50229,0,17,403,11,283,4415,8660,0,0,23,0,2,97,183,0,144,2376,30,1909,31075,59095
184,"GOLDBERG-HAINAU","LIE",0,68,1159,14,1523,23016,45701,0,2,70,1,118,1600,3356,0,0,5,0,0,77,141,0,70,1235,15,1644,24713,49238
185,"LIEGNITZ","LIE",1,136,1545,9,1600,15024,29786,0,35,213,3,400,3322,6958,1,0,25,0,1,604,969,2,171,1788,12,2002,18990,37794
186,"LIEGNITZ","LIE",0,62,1078,29,1386,21021,40150,0,3,68,2,143,2222,4447,0,0,0,0,0,3,7,0,65,1146,31,1529,23250,44618
187,"JAUER","LIE",0,52,979,2,926,14324,26871,0,35,333,0,414,2689,8204,0,1,6,0,1,36,84,0,88,1318,2,1341,17068,35195
188,"SCHONAU","LIE",0,98,414,14,708,11338,21949,2,15,76,5,83,1697,3365,0,0,0,0,0,14,19,2,113,490,19,791,13049,25333
189,"BOLKENHAIN","LIE",0,100,503,5,797,13724,26995,0,14,87,0,159,2754,5064,0,0,0,0,2,10,18,0,114,590,5,960,16519,32139
190,"LANDESHUT","LIE",0,264,483,16,534,11916,21915,0,260,391,5,572,12713,25950,0,0,12,0,1,143,220,0,526,888,21,1108,24909,48361
191,"HIRSCHBERG","LIE",1,1084,1689,70,2227,30172,57492,0,197,262,18,610,4888,10773,0,0,27,0,0,186,357,1,1281,1981,89,2837,35265,68669
192,"LOWENBERG","LIE",0,71,1004,31,1372,24867,47579,0,13,557,17,578,7975,16576,0,0,9,0,2,46,89,0,84,1576,48,1953,32932,64331
193,"LAUBAN","LIE",1,308,1044,30,1551,31201,59644,0,62,102,5,237,3328,6724,0,0,1,0,0,36,57,1,370,1150,35,1788,34584,66465
194,"GORLITZ","LIE",3,57,2982,15,2124,22530,44846,0,8,177,3,265,2711,5785,0,1,42,0,1,452,714,3,66,3206,18,2393,25775,51492
195,"GORLITZ","LIE",0,126,1274,65,1284,26312,49165,0,8,9,3,57,818,1564,0,0,0,0,1,7,11,0,134,1283,68,1342,27146,50755
196,"ROTHENBURG","LIE",1,68,744,22,1193,29525,50049,0,2,5,0,25,387,713,0,0,0,0,0,12,19,1,70,749,22,1218,29924,50781
197,"HOYERSWERDA","LIE",0,44,216,3,497,16990,28480,0,0,71,0,66,2279,4030,0,0,0,0,0,0,2,0,44,287,3,563,19269,32512
198,"KREUZBURG","OPP",0,12,845,31,834,17062,30653,0,16,385,15,396,6291,11885,0,0,30,0,1,479,776,0,28,1260,46,1231,23832,43314
199,"ROSENBERG","OPP",0,4,120,3,152,3597,5986,0,23,906,21,956,23144,39622,0,0,11,0,2,343,554,0,27,1037,24,1110,27085,46164
200,"OPPELN","OPP",2,8,545,10,349,7872,13271,1,87,2487,34,2263,54453,92990,0,0,51,0,9,775,1310,3,95,3084,44,2621,63100,107572
201,"GROSS STREHLITZ","OPP",0,6,56,11,87,1447,2332,0,51,1149,58,1352,34530,59013,0,0,38,0,6,759,1063,0,57,1243,69,1445,36736,62408
202,"LUBLINITZ","OPP",0,0,34,2,39,858,1439,0,15,591,12,942,23788,40532,0,0,17,1,8,580,895,0,15,642,15,989,25226,42866
203,"TOST-GLEIWITZ","OPP",0,18,198,5,116,2404,4362,0,353,1989,75,2402,50107,87000,0,0,91,0,9,1711,2628,0,371,2278,80,2527,54222,93990
204,"TARNOWITZ","OPP",0,12,84,1,69,1351,2180,1,55,1050,21,1006,24058,41312,0,0,28,0,4,755,1076,1,67,1162,22,1079,26167,44572
205,"BEUTHEN","OPP",0,25,201,2,210,5810,9392,0,303,2021,45,2631,61559,103098,0,1,115,0,25,2620,3851,0,329,2338,47,2866,69992,116347
206,"ZABRZE","OPP",0,4,31,1,45,1740,2637,0,39,546,76,970,30909,48493,0,0,12,0,10,659,942,0,43,589,77,1025,33308,52072
207,"KATTOWITZ","OPP",0,26,107,12,182,4045,6493,0,330,1761,96,2237,53526,86784,0,0,94,0,38,2599,3805,0,356,1962,108,2457,60173,97086
208,"PLESS","OPP",0,3,238,26,164,4842,8125,1,52,1558,41,2104,49942,84964,0,0,41,0,16,1011,1515,1,55,1837,67,2284,55797,94606
209,"RYBNIK","OPP",0,3,91,5,53,1548,2628,0,43,1405,97,1710,44769,74464,0,0,50,1,7,796,1214,0,46,1546,103,1770,47113,78307
210,"RATIBOR","OPP",1,6,206,2,124,2354,4128,0,230,3255,10,3056,67727,121526,0,0,109,0,5,1095,1743,1,236,3570,12,3185,71177,127401
211,"KOSEL","OPP",0,0,117,1,72,1374,2651,0,50,963,31,1453,36073,63200,0,1,8,3,4,168,282,0,51,1088,35,1529,37615,66133
212,"LEOBSCHUTZ","OPP",0,2,178,2,122,4005,6662,0,133,2642,14,1987,42852,78134,0,0,47,0,4,450,706,0,135,2867,16,2113,47307,85503
213,"NEUSTADT","OPP",0,13,237,9,185,4193,7448,0,30,2889,46,1940,47734,84093,0,0,24,0,5,299,507,0,43,3151,55,2130,52232,92059
214,"FALKENBERG","OPP",0,12,391,1,225,6537,11556,0,23,897,5,639,16045,28463,0,0,3,0,0,47,102,0,35,1291,6,864,22630,40122
215,"NEISSE","OPP",0,7,278,4,183,2623,6013,1,134,3505,172,2795,46837,92576,1,1,33,0,2,338,561,2,142,3816,176,2980,49803,99160
216,"GROTTKAU","OPP",0,1,74,1,75,1402,2584,0,109,1295,27,810,21653,40456,0,0,1,0,0,70,108,0,110,1371,28,885,23128,43154
217,"OSTERBURG","MAG",0,1,1376,51,1899,23426,44278,0,0,2,1,10,92,329,0,0,6,0,1,50,78,0,1,1386,52,1911,23598,44736
218,"SALZWEDEL","MAG",2,40,929,41,1975,27298,49998,0,0,3,0,4,93,270,0,0,5,0,1,70,118,2,40,937,41,1980,27463,50391
219,"GARDELEGEN","MAG",0,19,853,27,1593,29346,50379,0,0,2,0,3,83,205,0,0,3,0,0,24,40,0,19,858,27,1596,29453,50624
220,"STENDAL","MAG",0,125,1523,77,1674,29973,54664,0,3,10,1,17,291,689,0,1,6,0,1,63,102,0,129,1539,78,1692,30341,55474
221,"JERICHOW I","MAG",2,222,1537,42,1931,39348,68228,1,4,25,4,20,438,1039,0,0,1,0,0,16,32,3,231,1565,47,1952,39938,69532
222,"JERICHOW II","MAG",0,11,853,16,1770,31339,54658,0,1,5,0,19,115,459,0,0,4,0,0,36,64,0,12,863,16,1789,31512,55214
223,"KALBE","MAG",3,346,2420,84,1959,50801,86235,0,24,11,0,24,1087,2930,0,0,5,1,0,144,224,3,370,2439,86,1983,52065,89466
224,"WANZLEBEN","MAG",2,691,848,44,1366,38766,67014,0,163,44,6,94,4395,10444,0,0,2,0,0,38,78,2,854,895,50,1460,43205,77553
225,"MAGDEBURG","MAG",10,778,4512,37,5846,68121,130136,1,73,136,0,175,3453,7334,0,0,77,0,6,975,1650,12,857,4763,37,6037,73265,140351
226,"WOLMIRSTEDT","MAG",0,159,704,70,1338,29138,49789,0,16,15,3,15,494,1228,0,0,1,0,0,35,56,0,175,720,73,1353,29680,51094
227,"NEUHALDENSLEBEN","MAG",0,118,852,19,1487,30067,52787,0,21,29,3,45,1228,3453,0,0,2,0,0,44,75,0,139,883,22,1532,31346,56326
228,"OSCHERSLEBEN","MAG",2,132,790,39,1102,25417,45382,0,31,42,4,79,2709,6082,0,0,7,0,2,57,111,2,163,839,43,1183,28188,51585
229,"ASCHERSLEBEN","MAG",1,119,2262,80,1998,38283,68717,0,1,26,0,47,1026,2594,0,0,8,0,3,127,235,1,120,2299,80,2048,39476,71614
230,"HALBERSTADT","MAG",1,160,2252,110,2014,34685,62890,0,17,107,15,83,1843,3964,0,0,53,0,18,366,660,1,177,2423,126,2117,36979,67659
231,"WERNIGERODE","MAG",2,80,985,35,832,14393,24713,0,1,6,0,2,67,151,0,0,3,0,0,17,31,2,81,994,35,835,14481,24903
232,"LIEBENWERDA","MER",0,48,1180,8,890,27495,46644,0,0,4,0,9,122,277,0,0,0,0,0,8,11,0,48,1184,8,899,27625,46932
233,"TORGAU","MER",3,26,2844,43,1278,28952,54132,0,0,14,0,13,188,631,0,0,1,0,0,17,24,3,26,2859,43,1291,29165,54807
234,"SCHWEINITZ","MER",1,12,889,0,858,24823,41960,0,0,1,0,5,92,204,0,0,0,0,0,0,0,1,12,890,0,863,24916,42165
235,"WITTENBERG","MER",1,34,1483,40,1325,29695,52578,0,0,8,0,3,183,503,0,0,2,0,0,12,30,1,34,1498,40,1331,29953,53215
236,"BITTERFELD","MER",0,99,978,32,1194,30396,50985,0,1,1,0,4,207,635,0,0,2,0,0,7,12,0,100,981,32,1198,30625,51652
237,"SAALKREIS","MER",2,262,1595,46,1507,43015,72097,0,7,27,0,15,421,946,0,0,1,0,1,55,73,2,269,1624,46,1523,43513,73144
238,"HALLE","MER",19,430,4745,51,3119,37264,68330,2,21,456,1,47,1204,2726,0,0,37,0,0,372,643,21,451,5251,52,3166,38899,71808
239,"DELITZSCH","MER",0,32,1452,21,1650,33112,58444,0,2,11,0,12,251,502,0,0,0,0,0,29,53,0,34,1463,21,1662,33405,59026
240,"MANSFELDER GEBIRGSKR","MER",0,58,1014,37,1094,31701,52151,0,1,3,2,11,664,2003,0,0,2,0,0,31,58,0,59,1020,39,1105,32397,54215
241,"MANSFELDER SEEKREIS","MER",0,104,1765,48,1964,46358,77927,0,4,13,1,29,1556,3470,0,0,4,0,1,95,165,0,108,1788,49,1994,48039,81618
242,"SANGERHAUSEN","MER",0,116,1484,32,1491,41947,68917,0,0,9,0,13,223,657,0,0,2,0,0,35,66,0,116,1495,32,1505,42218,69662
243,"ECKARTSBERGA","MER",1,20,414,9,857,23853,39475,0,0,1,0,9,52,165,0,0,0,0,0,1,4,1,20,415,9,866,23907,39646
244,"QUERFURT","MER",0,110,766,17,1326,33015,56738,0,5,3,0,29,173,655,0,0,0,0,0,1,6,0,115,771,17,1355,33198,57421
245,"MERSEBURG","MER",6,227,1539,69,1855,40599,69453,0,7,23,0,26,355,1036,0,0,0,0,0,15,26,6,284,1564,69,1881,40983,70540
246,"WEISSENFELS","MER",1,777,1366,73,1730,46852,78147,0,6,8,1,19,528,1104,0,0,3,0,0,39,63,1,783,1378,75,1750,47433,79350
247,"NAUMBURG","MER",0,74,1496,10,1367,16988,30900,0,2,14,0,24,196,506,0,0,3,0,0,20,29,0,76,1516,10,1391,17220,31464
248,"ZEITZ","MER",2,208,1419,9,1207,26299,45502,0,1,188,0,5,161,645,0,0,0,0,0,33,51,2,209,1607,9,1212,26504,46212
249,"NORDHAUSEN","ERF",0,160,996,17,1260,13494,24032,1,5,52,1,40,720,1317,1,0,21,0,7,312,498,2,166,1095,18,1307,14735,26183
250,"NORDHAUSEN","ERF",0,118,504,49,691,26215,42156,0,1,8,1,17,501,824,0,0,8,0,7,129,228,0,119,521,50,715,26859,43229
251,"WORBIS","ERF",0,3,104,16,185,5724,9235,0,71,308,48,356,18935,30116,0,0,0,0,0,0,1,0,74,412,64,541,24660,39354
252,"HEILIGENSTADT","ERF",0,5,87,0,129,1935,3284,1,54,699,26,604,21003,34300,0,0,7,0,0,62,102,1,59,793,26,733,23001,37687
253,"MUHLHAUSEN","ERF",1,65,932,3,961,22934,40323,0,11,103,1,159,9718,16023,0,0,7,0,0,83,141,1,76,1042,4,1120,32737,56497
254,"LANGENSALZA","ERF",0,257,599,6,755,21488,36160,0,2,4,0,5,145,305,2,0,0,0,0,0,3,2,259,605,6,760,21646,36494
255,"WEISSENSEE","ERF",0,10,315,1,500,16076,26450,0,0,7,0,4,208,333,0,0,1,0,0,17,24,0,10,324,1,505,16313,26828
256,"ERFURT","ERF",0,14,2203,41,1983,23421,45014,0,3,336,4,179,4319,8393,0,0,34,4,5,376,592,0,17,2580,49,2171,28215,54169
257,"ERFURT","ERF",0,42,314,4,292,13533,22474,0,2,38,0,13,1560,2613,0,0,0,0,0,0,0,0,45,352,4,305,15093,25089
258,"ZIEGENRUCK","ERF",0,70,107,3,227,9171,15559,0,1,2,0,0,41,74,0,0,0,0,0,0,0,0,71,109,3,227,9212,15633
259,"SCHLEUSINGEN","ERF",0,215,476,139,661,25425,40901,0,4,4,9,7,324,939,0,0,13,0,2,103,174,0,219,493,148,670,25926,42117
260,"HADERSLEBEN","SCH",0,11,1412,170,3759,31591,58398,0,0,2,0,0,15,46,0,0,1,0,0,1,4,0,11,1478,175,3768,31776,58868
261,"APENRADE","SCH",0,14,849,34,1785,15199,29154,0,0,0,0,1,35,88,0,0,1,0,0,14,22,0,14,852,34,1786,15255,29281
262,"SONDERBURG","SCH",1,9,1437,29,1852,17534,33400,0,0,0,0,2,28,76,0,0,0,0,0,6,9,1,9,1440,29,1855,17579,33514
263,"FLENSBURG","SCH",0,170,2541,83,3356,39025,71488,0,3,7,1,5,128,262,0,0,0,0,1,26,56,0,173,2549,84,3363,39192,71826
264,"SCHLESWIG","SCH",3,32,3207,154,2635,34113,61250,0,1,9,0,12,212,405,0,0,18,0,3,140,231,3,34,3242,156,2664,34558,62052
265,"ECKERNFORDE","SCH",0,26,1081,67,2017,21190,37126,0,0,1,0,1,36,254,0,0,0,0,0,7,9,0,26,1083,67,2023,21250,37420
266,"EIDERSTEDT","SCH",0,1,492,29,1105,9797,16951,0,0,0,0,1,8,24,0,0,0,0,0,0,2,0,1,492,29,1106,9809,16983
267,"HUSUM","SCH",1,13,809,90,1790,20602,35283,0,0,2,4,17,196,353,0,0,0,0,0,0,1,1,13,812,95,1809,20819,35675
268,"TONDERN","SCH",0,6,1437,67,3471,30707,55973,0,0,7,0,0,0,19,0,0,0,0,0,7,12,0,6,1444,67,3471,30718,56013
269,"OLDENBURG","SCH",0,20,1192,53,2419,26119,45439,0,0,3,0,2,11,47,0,0,0,0,0,6,11,0,20,1195,53,2422,26136,45498
270,"PLON","SCH",0,8,1304,15,2627,32698,56483,0,0,6,0,6,254,494,0,0,1,0,0,18,26,0,8,1313,15,2633,33002,57053
271,"KIEL","SCH",2,75,2514,125,3998,47041,86439,0,0,29,5,29,636,1678,0,0,20,3,3,143,256,2,75,2563,133,4030,47833,88390
272,"RENDSBURG","SCH",1,159,2525,56,2322,28900,52767,1,49,52,0,5,125,420,0,0,16,0,0,57,105,2,208,2594,56,2329,29100,53322
273,"NORDERDITHMARSCHEN","SCH",0,20,856,30,1812,21345,35976,0,0,1,0,3,61,306,0,0,0,0,0,1,3,0,20,857,30,1815,21407,36285
274,"SUDERDITHMARSCHEN","SCH",0,13,1074,14,1891,23736,40669,0,0,0,0,5,17,89,0,0,0,0,0,3,6,0,13,1074,14,1897,23756,40765
275,"STEINBURG","SCH",2,235,3012,43,2976,33370,60956,0,3,78,0,4,119,327,0,0,5,0,0,31,55,2,238,3095,43,2980,33550,61384
276,"SEGEBERG","SCH",1,1,1010,19,1681,23277,39886,0,0,2,0,2,26,54,0,0,0,0,0,50,72,1,1,1012,19,1683,23356,40017
277,"STORMARN","SCH",2,125,1764,39,2963,40105,69281,0,1,13,0,21,274,571,0,0,27,0,1,297,462,2,126,1812,39,2989,40709,70388
278,"PINNEBERG","SCH",1,104,2271,44,3167,38428,68805,0,3,13,0,6,140,279,0,0,17,1,4,98,166,1,107,2308,45,3183,38715,69341
279,"ALTONA","SCH",3,101,2629,202,3762,56290,104749,0,5,54,11,60,1555,3044,0,1,147,1,23,1122,1993,3,109,2846,214,3854,59185,110183
280,"LAUENBURG","SCH",0,44,1305,161,2478,26736,49493,0,1,1,1,5,60,361,0,0,2,0,0,5,14,0,45,1308,162,2483,26801,49869
281,"DIEPHOLZ","HAN",0,11,358,29,1759,27655,47151,0,1,20,0,126,2143,3733,0,0,0,0,2,217,320,0,12,379,29,1889,30056,51277
282,"HOYA","HAN",0,8,325,81,1762,26021,44464,0,0,0,0,5,60,153,0,0,5,3,1,107,161,0,8,330,84,1769,26193,44789
283,"NIENBURG","HAN",3,46,491,49,1844,30934,51053,0,1,6,1,14,211,390,0,0,16,0,4,235,369,3,47,513,50,1862,31383,51816
284,"HANNOVER","HAN",11,29,5884,39,6954,56490,110152,0,5,282,4,486,5069,10338,0,1,284,4,66,2066,3501,11,36,6475,47,7520,63812,124321
285,"HANNOVER","HAN",4,788,1659,210,2003,49213,84108,0,76,38,12,62,2331,4319,2,0,13,1,5,250,407,6,864,1712,223,2070,51814,88872
286,"WENNIGSEN","HAN",0,68,842,68,1525,27958,48274,0,0,8,0,8,203,629,0,1,15,0,9,247,408,0,69,867,70,1544,28415,49333
287,"HAMELN","HAN",3,196,1725,77,2041,28360,50118,1,3,99,1,15,529,1146,0,0,53,0,7,292,498,4,199,1878,78,2064,29184,51775
288,"HILDESHEIM","HIL",6,223,2511,54,1848,24446,48193,4,95,821,11,927,13498,23304,0,0,51,1,2,452,760,10,318,3388,66,2777,38401,72278
289,"MARIENBURG","HIL",4,185,853,124,1237,25494,44131,1,36,166,28,276,6297,10924,0,0,4,1,6,93,177,5,221,1023,153,1519,31897,55250
290,"LIEBENBURG","HIL",1,107,1156,63,1732,27182,48684,0,24,102,17,151,3247,6187,0,0,5,0,0,53,91,1,131,1264,80,1883,30497,54988
291,"OSTERODE AM HARZ","HIL",8,315,724,52,1020,24737,41229,0,65,390,45,279,13730,21503,0,0,6,0,0,109,167,8,380,1121,97,1299,38579,62905
292,"GOTTINGEN","HIL",1,269,2804,117,2574,39260,69782,0,11,176,6,92,1190,2714,0,0,86,3,7,509,846,1,280,3099,126,2675,40985,73412
293,"EINBECK","HIL",2,83,1794,142,1909,37890,65244,0,2,309,2,34,837,2208,0,0,34,1,8,401,639,2,85,2137,145,1958,39191,68192
294,"ZELLERFELD","HIL",2,61,2557,50,868,25485,43088,0,0,17,0,5,139,270,0,0,1,0,0,17,24,2,61,2581,50,873,25647,43401
295,"CELLE","LUN",1,112,2602,52,2414,35809,67512,0,9,226,3,38,600,1630,0,0,27,0,4,211,363,1,121,2857,55,2456,36642,69538
296,"GIFHORN","LUN",4,31,597,59,1690,29667,52350,0,1,4,0,11,143,700,0,0,1,0,0,12,24,4,32,604,59,1704,29905,53216
297,"FALLINGBOSTEL","LUN",1,92,711,54,2163,29023,51238,0,0,3,1,11,78,159,0,0,3,0,1,56,92,1,92,717,55,2177,29159,51496
298,"ULZEN","LUN",0,15,755,23,1848,22678,43105,0,0,10,3,11,93,243,0,0,3,1,2,45,71,0,15,770,27,1861,22833,43460
299,"DANNENBERG","LUN",2,10,826,24,1531,29066,52975,0,0,5,0,1,31,76,0,0,2,0,1,39,63,2,10,834,24,1534,29139,53119
300,"LUNEBURG","LUN",1,84,1646,53,2312,27403,50644,0,0,21,1,18,305,660,0,0,6,0,3,101,170,1,84,1679,54,2334,27821,51501
301,"HARBURG","LUN",1,357,897,83,2278,43434,75551,1,10,9,2,14,418,881,0,0,9,1,0,125,213,2,367,916,86,2293,44038,76748
302,"STADER MARSCHKREIS","STA",1,8,804,87,1566,22654,40945,0,0,1,0,5,18,127,0,0,2,0,0,10,22,1,8,808,87,1573,22691,41119
303,"STADER GEESTKREIS","STA",2,182,1143,45,2178,29997,53560,0,2,14,0,12,236,519,0,0,5,1,1,72,115,2,184,1164,47,2192,30334,54241
304,"NEUHAUS","STA",2,170,679,37,1225,16105,28543,0,19,0,1,0,21,83,0,0,2,0,1,15,30,2,189,681,38,1226,16141,28657
305,"OTTERNDORF","STA",0,7,563,25,880,9866,17542,0,2,1,0,0,27,71,0,0,1,0,1,2,5,0,9,566,25,881,9902,17631
306,"LEHE","STA",0,36,811,183,2161,34643,59380,0,0,10,10,31,708,1240,0,0,11,3,4,277,421,0,36,832,196,2196,35642,61064
307,"OSTERHOLZ","STA",4,291,564,93,1279,27442,45695,0,6,3,1,10,296,553,0,0,8,0,8,154,262,4,297,575,95,1298,27909,46545
308,"VERDEN","STA",0,32,821,31,1543,25446,43360,0,2,9,0,9,421,876,0,0,4,0,4,160,234,0,34,836,31,1561,26056,44523
309,"ROTENBURG","STA",0,11,258,18,1040,18065,31631,0,0,1,0,0,16,37,0,0,2,0,1,28,48,0,11,261,18,1041,18109,31716
