kreiskey1892,county,rb,wage1892_ov16_m_ur,wage1892_ov16_m_ru,wage1892_ov16_f_ur,wage1892_ov16_f_ru,wage1892_un16_m_ur,wage1892_un16_m_ru,wage1892_un16_f_ur,wage1892_un16_f_ru
1,"MEMEL","KON",1.5,1.25,1,.75,.8,.7,.7,.5
2,"FISCHHAUSEN","KON",1.8,1.31,1.1,.71,1,.51,.75,.41
3,"KONIGSBERG","KON",2.5,,1,,1.25,,.4,
4,"KONIGSBERG","KON",,1.25,,.75,,.5,,.5
5,"LABIAU","KON",1.6,1.4,1,1,1,1,.6,.6
6,"WEHLAU","KON",1.2,1.3,.77,.7,.7,.7,.5,.6
7,"GERDAUEN","KON",1.23,1.2,.63,.8,.58,.5,.45,.5
8,"RASTENBURG","KON",1.13,1.4,.67,.8,.57,.8,.43,.5
9,"FRIEDLAND","KON",1.18,1.2,.7,.7,.58,.5,.43,.4
10,"PREUSSISCH EYLAU","KON",1.07,1.2,.7,.9,.7,.8,.43,.5
11,"HEILIGENBEIL","KON",1.4,1.2,.95,.8,.78,.8,.55,.4
12,"BRAUNSBERG","KON",1.4,1.5,.85,.85,.75,.6,.51,.5
13,"HEILSBERG","KON",1,1,.7,.7,.5,.4,.33,.3
14,"ROSSEL","KON",1.2,1.15,.7,.9,.58,.9,.45,.85
15,"ALLENSTEIN","KON",1.3,1.2,.85,.6,.95,.4,.6,.25
16,"ORTELSBURG","KON",1.17,1.2,.67,.9,.67,.8,.48,.5
17,"NEIDENBURG","KON",1.4,1.2,.9,.6,.8,.6,.5,.4
18,"OSTERODE","KON",1.31,1.2,1,.9,.7,.7,.6,.6
19,"MOHRUNGEN","KON",1.35,1.2,.73,.7,.72,.7,.43,.4
20,"PREUSSISCH HOLLAND","KON",1.45,1.4,.9,.8,.63,.6,.53,.6
21,"HEYDEKRUG","GUM",,1.2,,.7,,.6,,.4
22,"NIEDERUNG","GUM",,1.2,,.7,,.6,,.4
23,"TILSIT","GUM",1.4,1.2,.7,.7,.6,.6,.4,.4
24,"RAGNIT","GUM",1.2,1.2,.7,.7,.6,.6,.4,.4
25,"PILLKALLEN","GUM",1.2,1.2,.7,.7,.6,.6,.4,.4
26,"STALLUPONEN","GUM",1.2,1.2,.7,.7,.6,.6,.4,.4
27,"GUMBINNEN","GUM",1.2,1.2,.7,.7,.6,.6,.4,.4
28,"INSTERBURG","GUM",1.7,1.5,1.1,.9,1.1,.8,.7,.5
29,"DARKEHMEN","GUM",1.5,1.5,.9,.9,.8,.8,.7,.7
30,"ANGERBURG","GUM",1,1,.6,.6,.6,.6,.4,.4
31,"GOLDAP","GUM",1.2,1.2,.7,.7,.6,.6,.4,.4
32,"OLETZKO","GUM",1,1,.6,.6,.6,.6,.4,.4
33,"LYCK","GUM",1,1,.6,.6,.6,.6,.4,.4
34,"LOTZEN","GUM",1,1,.6,.6,.6,.6,.4,.4
35,"SENSBURG","GUM",1,1,.6,.6,.6,.6,.4,.4
36,"JOHANNISBURG","GUM",1,1,.6,.6,.6,.6,.4,.4
37,"ELBING","DAN",1.5,,1,,.65,,.55,
38,"ELBING","DAN",1.4,1.4,.85,.85,.75,.75,.6,.6
39,"MARIENBURG","DAN",1.63,1.4,.88,.85,.85,.75,.62,.6
40,"DANZIG","DAN",1.8,,1,,.65,,.55,
41,"DANZIG NIEDERUNG","DAN",,1.4,,.75,,.7,,.6
42,"DANZIG HOHE","DAN",,1.41,,.8,,.75,,.6
43,"DIRSCHAU","DAN",1.7,1.4,.9,.75,.8,.5,.6,.5
44,"PREUSSISCH STARGARD","DAN",1.5,1.4,.8,.75,1,.75,.6,.6
45,"BERENT","DAN",1.3,1.3,.9,.9,.7,.7,.5,.5
46,"KARTHAUS","DAN",,1.01,,.75,,.51,,.31
47,"NEUSTADT","DAN",1.55,1.25,.9,.8,1,.75,.55,.55
48,"PUTZIG","DAN",1.25,1.25,1,1,.8,.8,.75,.75
49,"STUHM","MAR",1.4,1.25,.95,.8,.8,.6,.63,.5
50,"MARIENWERDER","MAR",1.5,1.2,.9,.75,.72,.5,.55,.5
51,"ROSENBERG","MAR",1.23,1.2,.76,.75,.57,.6,.49,.6
52,"LOBAU","MAR",1.2,1.5,.78,.75,.72,.5,.47,.4
53,"STRASBURG","MAR",1.47,1.5,1.07,1.1,.83,.8,.77,.75
54,"BRIESEN","MAR",1.27,1.1,.87,.75,.67,.6,.62,.5
55,"THORN","MAR",1.3,1.1,.9,.9,.73,.7,.58,.55
56,"KULM","MAR",1.6,1.2,.9,.9,.6,.6,.5,.5
57,"GRAUDENZ","MAR",1.45,1.4,.88,.8,.78,.6,.63,.5
58,"SCHWETZ","MAR",1.25,1.5,.9,.8,.8,1,.6,.55
59,"TUCHEL","MAR",1.2,1.2,.9,.9,.7,.7,.7,.7
60,"KONITZ","MAR",1.4,1.3,.7,.9,.5,.75,.5,.65
61,"SCHLOCHAU","MAR",1.25,1.1,.81,.8,.75,.65,.59,.6
62,"FLATOW","MAR",1.38,1.2,.9,.6,.78,.5,.64,.4
63,"DEUTSCH KRONE","MAR",1.27,1,.77,.7,.64,.5,.43,.3
64,"BERLIN","BER",2.7,,1.5,,1.3,,1,
65,"PRENZLAU","POT",1.47,1.4,.87,.8,.6,.6,.4,.4
66,"TEMPLIN","POT",1.4,1.3,.8,.75,.8,.75,.6,.6
67,"ANGERMUNDE","POT",1.58,1.4,.93,.75,.85,.6,.63,.5
68,"OBERBARNIM","POT",1.75,1.42,1.03,.81,.79,.61,.63,.51
69,"NIEDERBARNIM","POT",1.75,1.64,1,.86,.9,.76,.7,.55
70,"CHARLOTTENBURG","POT",2.5,,1.5,,1,,.75,
71,"TELTOW","POT",1.82,1.73,1.03,1.02,.82,.82,.63,.64
72,"BEESKOW-STORKOW","POT",1.25,1.26,.9,.91,.8,.81,.7,.7
73,"JUTERBOG-LUCKENWALDE","POT",1.32,1.2,.88,.8,.73,.65,.66,.6
74,"ZAUCH-BELZIG","POT",1.25,1.25,.8,.8,.7,.7,.55,.55
75,"POTSDAM","POT",2,,1,,.5,,.5,
76,"SPANDAU","POT",2.5,,1.5,,.8,,.8,
77,"OSTHAVELLAND","POT",1.8,1.8,.9,.9,.9,.9,.6,.6
78,"BRANDENBURG","POT",2,,1.2,,.9,,.9,
79,"WESTHAVELLAND","POT",1.6,1.6,1,1,.94,.9,.67,.65
80,"RUPPIN","POT",1.43,1.4,.83,.8,.51,.5,.51,.5
81,"OSTPRIGNITZ","POT",1.5,1.5,1,1,.6,.6,.5,.5
82,"WESTPRIGNITZ","POT",1.58,1.5,1,1,.58,.5,.58,.5
83,"KONIGSBERG","FRA",1.36,1.3,.83,.8,.63,.6,.6,.6
84,"SOLDIN","FRA",1.2,1.2,.8,.8,.6,.6,.6,.6
85,"ARNSWALDE","FRA",1.2,1.2,.8,.8,.6,.6,.5,.5
86,"FRIEDEBERG","FRA",1.2,1.2,.8,.8,.6,.6,.6,.6
87,"LANDSBERG","FRA",1.4,,.9,,.6,,.6,
88,"LANDSBERG","FRA",,1.2,,.8,,.6,,.6
89,"LEBUS","FRA",1.43,1.4,.83,.8,.62,.6,.62,.6
90,"FRANKFURT","FRA",1.8,,1.1,,1,,.7,
91,"WESTSTERNBERG","FRA",1.2,1.2,.7,.7,.6,.6,.5,.5
92,"OSTSTERNBERG","FRA",1.2,1.2,.8,.8,.6,.6,.6,.6
93,"ZULLICHAU-SCHWIEBUS","FRA",1.2,1.2,.8,.6,.6,.4,.6,.4
94,"KROSSEN","FRA",1.3,1.2,.87,.8,.67,.6,.67,.6
95,"GUBEN","FRA",1.5,,1,,.75,,.75,
96,"GUBEN","FRA",1.2,1.2,.8,.8,.5,.5,.5,.5
97,"LUBBEN","FRA",1.3,1.2,.9,.8,.67,.6,.6,.6
98,"LUCKAU","FRA",1.45,1.2,.97,.8,.77,.6,.77,.6
99,"KALAU","FRA",1.2,1.2,.8,.8,.6,.6,.6,.6
100,"KOTTBUS","FRA",1.5,,1,,.6,,.6,
101,"KOTTBUS","FRA",1.5,1.5,1,1,.8,.8,.8,.8
102,"SORAU","FRA",1.3,1.2,.88,.8,.63,.6,.63,.6
103,"SPREMBERG","FRA",1.2,1.2,.8,.8,.6,.6,.5,.5
104,"DEMMIN","STE",1.58,1.5,.93,.9,.76,.7,.58,.5
105,"ANKLAM","STE",1.75,1.4,1,.8,.75,.6,.75,.4
106,"USEDOM-WOLLIN","STE",1.8,1.8,1,1,.8,.8,.6,.6
107,"UCKERMUNDE","STE",1.5,1.5,.9,.9,.7,.7,.5,.5
108,"RANDOW","STE",1.6,1.51,.92,.9,.76,.7,.55,.5
109,"STETTIN","STE",2.25,,1,,1,,.6,
110,"GREIFENHAGEN","STE",1.4,1.4,.8,.8,.6,.6,.4,.4
111,"PYRITZ","STE",1.4,1.4,.8,.8,.6,.6,.4,.4
112,"SAATZIG","STE",1.52,1.5,.92,.9,.72,.7,.5,.5
113,"NAUGARD","STE",1.5,1.5,.9,.9,.7,.7,.5,.5
114,"KAMMIN","STE",1.5,1.5,.9,.9,.7,.7,.5,.5
115,"GREIFENBERG","STE",1.4,1.4,.8,.8,.6,.6,.4,.4
116,"REGENWALDE","STE",1.4,1.4,.8,.8,.6,.6,.4,.4
117,"SCHIVELBEIN","KOS",1.3,1.25,.8,.8,.7,.7,.6,.6
118,"DRAMBURG","KOS",1.4,1.4,.93,.9,.77,.7,.6,.6
119,"NEUSTETTIN","KOS",1.38,1.4,.85,1,.68,.8,.56,.65
120,"BELGARD","KOS",1.45,1.25,.9,.8,.8,.7,.63,.6
121,"KOLBERG-KORLIN","KOS",1.5,1.5,1,1,.8,.7,.63,.65
122,"KOSLIN","KOS",1.5,1.4,1,1,.8,.8,.65,.65
123,"BUBLITZ","KOS",1.2,1.2,.7,.7,.5,.5,.5,.5
124,"SCHLAWE","KOS",1.33,1.4,.88,1,.68,.7,.55,.6
125,"RUMMELSBURG","KOS",1.4,1.25,.8,.8,.7,.7,.6,.6
126,"STOLP","KOS",1.6,1.5,1.1,1,.8,.8,.65,.6
127,"LAUENBURG","KOS",1.4,1.4,.9,.9,.8,.8,.6,.6
128,"BUTOW","KOS",1.4,1.25,.8,.8,.7,.7,.5,.5
129,"RUGEN","STR",1.5,1.5,.9,.9,.5,.5,.4,.4
130,"STRALSUND","STR",1.75,,1,,1,,.5,
131,"FRANZBURG","STR",1.5,1.5,.9,.9,.5,.5,.4,.4
132,"GREIFSWALD","STR",1.5,1.5,.93,.9,.53,.5,.4,.4
133,"GRIMMEN","STR",1.5,1.5,.9,.9,.5,.5,.4,.4
134,"WRESCHEN","POS",1.2,1.2,.7,.7,.6,.6,.4,.4
135,"JAROTSCHIN","POS",1.05,1.05,.7,.7,.6,.6,.4,.4
136,"SCHRODA","POS",1.2,1.2,.7,.7,.6,.6,.4,.4
137,"SCHRIMM","POS",1.2,1.2,.7,.7,.6,.6,.4,.4
138,"POSEN","POS",1.6,,1,,.75,,.5,
139,"POSEN OST","POS",1.2,1.2,.7,.7,.6,.6,.4,.4
140,"POSEN WEST","POS",1.2,1.2,.7,.7,.6,.6,.4,.4
141,"OBORNIK","POS",1.05,1.05,.7,.7,.6,.6,.4,.4
142,"SAMTER","POS",1.15,1.15,.7,.7,.6,.6,.4,.4
143,"BIRNBAUM","POS",1.2,1.2,.7,.7,.6,.6,.4,.4
144,"SCHWERIN","POS",1.15,1.15,.7,.7,.6,.6,.4,.4
145,"MESERITZ","POS",1.15,1.15,.7,.7,.6,.6,.4,.4
146,"NEUTOMISCHEL","POS",1.3,1.3,.9,.9,.7,.7,.45,.45
147,"GRATZ","POS",1.2,1.2,.7,.7,.6,.6,.4,.4
148,"BOMST","POS",1.15,1.15,.7,.7,.6,.6,.4,.4
149,"FRAUSTADT","POS",1.05,1.05,.7,.7,.6,.6,.4,.4
150,"SCHMIEGEL","POS",1.05,1.05,.7,.7,.6,.6,.4,.4
151,"KOSTEN","POS",1.05,1.05,.7,.7,.6,.6,.4,.4
152,"LISSA","POS",1.16,1.05,.73,.7,.61,.6,.44,.4
153,"RAWITSCH","POS",1.22,1.15,.72,.7,.64,.6,.44,.4
154,"GOSTYN","POS",1.05,1.05,.7,.7,.6,.6,.4,.4
155,"KOSCHMIN","POS",1.15,1.15,.7,.7,.6,.6,.4,.4
156,"KROTOSCHIN","POS",1.2,1.2,.7,.7,.6,.6,.4,.4
157,"PLESCHEN","POS",1.05,1.05,.7,.7,.6,.6,.4,.4
158,"OSTROWO","POS",1.05,1.05,.7,.7,.6,.6,.4,.4
159,"ADELNAU","POS",1.05,1.05,.7,.7,.6,.6,.4,.4
160,"SCHILDBERG","POS",1.05,1.05,.7,.7,.6,.6,.4,.4
161,"KEMPEN","POS",1.2,1.2,.7,.7,.6,.6,.4,.4
162,"FILEHNE","BRO",1.4,1.4,.9,.9,.8,.8,.6,.6
163,"CZARNIKAU","BRO",1.4,1.4,.9,.9,.8,.8,.6,.6
164,"KOLMAR","BRO",1.47,1.4,.93,.9,.87,.8,.65,.6
165,"WIRSITZ","BRO",1.43,1.4,.92,.9,.83,.8,.63,.6
166,"BROMBERG","BRO",2,,1,,1,,.75,
167,"BROMBERG","BRO",1.47,1.43,.93,.91,.87,.83,.65,.62
168,"SCHUBIN","BRO",1.4,1.4,.9,.9,.8,.8,.6,.6
169,"HOHENSALZA","BRO",1.5,1.4,.95,.9,.9,.8,.68,.6
170,"STRELNO","BRO",1.4,1.4,.9,.9,.8,.8,.6,.6
171,"MOGILNO","BRO",1.4,1.4,.9,.9,.8,.8,.6,.6
172,"ZNIN","BRO",1.4,1.4,.9,.9,.8,.8,.6,.6
173,"WONGROWITZ","BRO",1.4,1.4,.9,.9,.8,.8,.6,.6
174,"GNESEN","BRO",1.5,1.4,.95,.9,.9,.8,.68,.6
175,"WITKOWO","BRO",1.4,1.4,.9,.9,.8,.8,.6,.6
176,"NAMSLAU","BRE",1,1,.6,.6,.6,.6,.4,.4
177,"GROSS WARTENBERG","BRE",1,1,.6,.6,.6,.6,.4,.4
178,"OLS","BRE",.9,.9,.6,.6,.5,.5,.5,.5
179,"TREBNITZ","BRE",.95,.95,.55,.55,.5,.5,.4,.4
180,"MILITSCH","BRE",.85,.85,.5,.5,.5,.5,.35,.35
181,"GUHRAU","BRE",1,1,.5,.5,.5,.5,.35,.35
182,"STEINAU","BRE",1,1,.6,.6,.6,.6,.45,.45
183,"WOHLAU","BRE",1,1,.5,.5,.5,.5,.35,.35
184,"NEUMARKT","BRE",1.1,1.1,.6,.6,.5,.5,.4,.4
185,"BRESLAU","BRE",2,,1.1,,1,,.8,
186,"BRESLAU","BRE",,1.1,,.65,,.65,,.5
187,"OHLAU","BRE",1.1,1.1,.7,.7,.65,.65,.5,.5
188,"BRIEG","BRE",1,1,.6,.6,.6,.6,.4,.4
189,"STREHLEN","BRE",1,1,.7,.7,.6,.6,.5,.5
190,"NIMPTSCH","BRE",.9,.9,.6,.6,.6,.6,.5,.5
191,"MUNSTERBERG","BRE",1,1,.7,.7,.6,.6,.5,.5
192,"FRANKENSTEIN","BRE",.9,.9,.65,.65,.5,.5,.4,.4
193,"REICHENBACH","BRE",1.1,1.1,.9,.9,.7,.7,.6,.6
194,"SCHWEIDNITZ","BRE",1.43,1.2,.78,.6,.68,.5,.53,.5
195,"STRIEGAU","BRE",1.5,1.1,.8,.7,.65,.55,.65,.5
196,"WALDENBURG","BRE",1.4,1.4,.9,.9,.75,.75,.5,.5
197,"GLATZ","BRE",1,1,.75,.75,.6,.6,.5,.5
198,"NEURODE","BRE",1.3,1.3,.9,.8,.7,.6,.6,.6
199,"HABELSCHWERDT","BRE",1.1,1.1,.7,.7,.7,.7,.5,.5
200,"GRUNBERG","LIE",1.13,1,.73,.6,.6,.5,.5,.45
201,"FREISTADT","LIE",1,1,.6,.6,.5,.5,.4,.4
202,"SAGAN","LIE",1.27,1.2,.8,.7,.65,.6,.47,.4
203,"SPROTTAU","LIE",1.1,1,.68,.6,.5,.5,.43,.35
204,"GLOGAU","LIE",1.3,1.2,.75,.7,.63,.5,.45,.4
205,"LUBEN","LIE",1,1,.5,.5,.45,.45,.4,.4
206,"BUNZLAU","LIE",1.25,1.2,.8,.7,.58,.55,.48,.45
207,"GOLDBERG-HAINAU","LIE",1.3,1,1,.6,.7,.5,.6,.4
208,"LIEGNITZ","LIE",1.5,,1,,.6,,.6,
209,"LIEGNITZ","LIE",1.2,1.2,.7,.7,.55,.55,.45,.45
210,"JAUER","LIE",1,1,.6,.6,.5,.5,.4,.4
211,"SCHONAU","LIE",1,1,.6,.6,.5,.5,.4,.4
212,"BOLKENHAIN","LIE",1.2,1.2,.7,.7,.6,.6,.5,.5
213,"LANDESHUT","LIE",1.2,1.2,.7,.7,.6,.6,.5,.5
214,"HIRSCHBERG","LIE",1.3,1.2,.8,.8,.6,.6,.5,.5
215,"LOWENBERG","LIE",1,1,.7,.7,.6,.6,.5,.5
216,"LAUBAN","LIE",1.25,1.2,.81,.75,.58,.5,.45,.4
217,"GORLITZ","LIE",1.7,,1.1,,.9,,.7,
218,"GORLITZ","LIE",1.15,1.15,.7,.7,.55,.55,.4,.4
219,"ROTHENBURG","LIE",1.15,1,.73,.55,.6,.4,.48,.35
220,"HOYERSWERDA","LIE",1.1,1.1,.75,.75,.7,.7,.5,.5
221,"KREUZBURG","OPP",1.17,1,.7,.7,.67,.5,.57,.4
222,"ROSENBERG","OPP",1.1,1,.8,.7,.7,.6,.5,.4
223,"OPPELN","OPP",1.2,1,.65,.6,.6,.6,.5,.4
224,"GROSS STREHLITZ","OPP",1,1,.67,.6,.63,.6,.47,.4
225,"LUBLINITZ","OPP",.93,.9,.63,.6,.6,.6,.43,.4
226,"TOST-GLEIWITZ","OPP",1.05,.9,.78,.7,.65,.6,.53,.5
227,"TARNOWITZ","OPP",1.5,1.2,.8,.7,1,.6,.6,.5
228,"BEUTHEN","OPP",1.6,,.9,,.9,,.8,
229,"BEUTHEN","OPP",1.4,1.5,1,.8,1,.8,.8,.6
230,"ZABRZE","OPP",,1.39,,.9,,.75,,.55
231,"KATTOWITZ","OPP",1.55,1.5,1,.9,.95,.8,.8,.6
232,"PLESS","OPP",1,1,.7,.7,.5,.5,.4,.4
233,"RYBNIK","OPP",1,1,.6,.6,.5,.5,.4,.4
234,"RATIBOR","OPP",1.15,1,.75,.7,.7,.7,.55,.5
235,"KOSEL","OPP",1.2,.9,.9,.6,.7,.6,.5,.4
236,"LEOBSCHUTZ","OPP",1,.9,.77,.6,.7,.6,.57,.4
237,"NEUSTADT","OPP",1.03,1,.8,.7,.73,.7,.53,.5
238,"FALKENBERG","OPP",1,.9,.77,.7,.7,.7,.57,.5
239,"NEISSE","OPP",1.1,1,.83,.7,.8,.7,.63,.5
240,"GROTTKAU","OPP",1.15,.9,.75,.6,.7,.6,.5,.4
241,"OSTERBURG","MAG",1.58,1.5,1.05,1,1,1,.73,.7
242,"SALZWEDEL","MAG",1.63,1.5,1.13,1,.95,.9,.73,.7
243,"GARDELEGEN","MAG",1.6,1.6,1,1.1,.97,.8,.73,.7
244,"STENDAL","MAG",1.75,1.4,1.08,.8,.95,.7,.78,.6
245,"JERICHOW I","MAG",1.8,1.64,.91,.82,.95,.82,.71,.56
246,"JERICHOW II","MAG",1.58,1.5,.9,.75,.82,.7,.6,.5
247,"KALBE","MAG",1.9,1.86,1.09,1.11,1.08,1.03,.83,.77
248,"WANZLEBEN","MAG",1.58,1.83,1,1.12,.95,1.03,.84,.82
249,"MAGDEBURG","MAG",2,,1.4,,1.2,,1,
250,"WOLMIRSTEDT","MAG",1.75,1.61,1,1,1,1,1,.81
251,"NEUHALDENSLEBEN","MAG",1.9,1.7,1,1,1,1,.75,.8
252,"OSCHERSLEBEN","MAG",1.75,1.8,1.16,1.1,1.08,1.1,.83,.85
253,"ASCHERSLEBEN","MAG",,,,,,,,
254,"QUEDLINBURG","MAG",1.7,1.75,1.07,1.1,1.1,1.1,.93,.8
255,"HALBERSTADT","MAG",2,,1.2,,.9,,.8,
256,"HALBERSTADT","MAG",1.7,1.8,1.1,1.2,1.1,1.2,.8,.8
257,"WERNIGERODE","MAG",1.7,1.7,1.2,1.02,1,.82,.8,.62
258,"LIEBENWERDA","MER",1.2,1.2,.7,.7,.5,.5,.4,.4
259,"TORGAU","MER",1.4,1.4,.7,.7,.75,.75,.6,.6
260,"SCHWEINITZ","MER",1.2,1.2,.7,.7,.5,.5,.4,.4
261,"WITTENBERG","MER",1.5,1.5,.8,.8,.8,.8,.6,.6
262,"BITTERFELD","MER",1.5,1.5,.8,.8,.8,.8,.6,.6
263,"SAALKREIS","MER",1.8,1.8,.95,.95,1,1,.75,.75
264,"HALLE","MER",2.2,,1.1,,1.2,,1,
265,"DELITZSCH","MER",1.43,1.33,.87,.77,.7,.57,.67,.57
266,"MANSFELDER GEBIRGSKR","MER",1.9,1.7,1,.9,1,.9,.8,.7
267,"MANSFELDER SEEKREIS","MER",2,2,1,1,1,1,.75,.75
268,"SANGERHAUSEN","MER",1.58,1.5,1,1,.8,.8,.74,.7
269,"ECKARTSBERGA","MER",1.25,1.25,.75,.75,.75,.75,.6,.6
270,"QUERFURT","MER",1.5,1.5,.8,.8,.8,.8,.8,.8
271,"MERSEBURG","MER",1.56,1.5,1.02,1,.97,1,.8,.8
272,"WEISSENFELS","MER",1.8,1.8,1.2,1.2,1,1,.8,.8
